ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
0.192,0.06,9.871,3.183,3.595,0.534,like,2
0.249,-0.002,9.747,0.107,1.557,-1.145,like,2
-0.036,0.084,9.555,2.168,7.0,-3.427,like,2
0.029,0.237,9.618,-0.725,4.496,-1.496,like,2
0.048,0.177,9.938,-2.931,6.45,-0.527,like,2
-0.067,0.323,9.795,-0.916,5.313,0.985,like,2
0.249,0.136,9.986,-0.45,3.527,1.847,like,2
0.204,0.208,9.783,-1.832,3.427,1.885,like,2
0.199,0.017,9.776,-1.145,6.115,0.015,like,2
-0.05,0.031,9.888,-3.435,2.023,0.855,like,2
-0.014,0.165,9.792,-2.695,5.603,0.412,like,2
0.101,0.017,9.924,-1.939,5.718,1.038,like,2
0.11,0.132,9.79,-3.634,3.412,1.687,like,2
0.151,-0.045,9.876,-2.511,5.092,0.84,like,2
0.007,0.043,9.943,-2.489,2.969,0.481,like,2
0.012,0.096,9.804,-2.725,5.176,-0.336,like,2
0.098,0.026,9.922,-1.58,4.939,0.29,like,2
0.098,0.048,9.936,-2.031,4.794,1.053,like,2
0.057,0.124,9.864,-0.908,2.466,0.16,like,2
0.136,-0.038,9.895,-1.328,4.137,0.74,like,2
0.072,0.079,9.924,-0.992,3.901,1.107,like,2
0.215,0.115,9.835,1.916,5.076,0.206,like,2
0.199,-0.019,9.783,-0.42,4.626,-1.015,like,2
0.077,0.029,9.883,-1.695,4.046,-0.092,like,2
0.089,0.108,9.895,-2.618,5.672,1.397,like,2
0.158,0.204,9.85,-2.16,5.0,0.649,like,2
0.165,-0.208,9.811,0.313,4.313,1.252,like,2
0.124,0.129,9.756,-0.618,6.244,-0.405,like,2
0.089,0.019,9.799,2.977,6.863,0.229,like,2
-0.038,0.256,9.732,-1.359,5.122,1.656,like,2
0.139,0.213,9.689,-6.87,-0.71,5.13,like,2
0.127,0.014,9.948,-0.153,9.954,0.718,like,2
0.127,0.187,10.362,8.695,-6.473,9.351,like,2
0.294,0.204,10.156,17.359,-3.275,4.458,like,2
0.184,0.28,10.209,43.0,-2.069,5.863,like,2
0.558,1.192,9.409,30.16,13.847,6.26,like,2
0.273,0.63,10.127,67.137,27.832,9.107,like,2
0.302,1.164,9.783,114.267,30.046,-23.282,like,2
0.165,2.871,9.06,181.832,49.366,-25.198,like,2
-1.025,4.118,8.806,162.977,96.237,-35.954,like,2
2.43,5.09,7.228,111.672,111.931,10.641,like,2
-2.624,7.266,6.196,116.397,138.305,-2.435,like,2
-2.907,7.558,6.144,91.237,64.168,-21.954,like,2
-3.883,7.69,4.69,114.26,101.282,-29.786,like,2
-5.109,8.504,4.262,64.504,49.916,-13.015,like,2
-4.334,8.016,3.321,-17.466,0.962,-8.191,like,2
