ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
1.774,4.597,6.603,-0.565,1.206,-0.656,like,1
1.48,5.167,6.711,1.504,0.084,-4.16,like,1
1.7,6.914,7.908,14.427,12.55,-12.939,like,1
1.532,7.204,8.351,9.931,18.168,-10.679,like,1
1.216,6.895,8.545,-2.389,11.389,-5.153,like,1
1.331,6.361,8.152,-7.878,4.412,-0.534,like,1
1.243,6.254,7.769,-3.824,7.183,-1.962,like,1
1.173,6.081,7.532,-5.847,4.603,0.71,like,1
1.185,6.005,7.305,-1.092,6.832,-0.244,like,1
1.312,6.098,7.403,-6.313,3.618,2.061,like,1
1.276,5.964,7.312,-1.137,6.229,0.931,like,1
1.264,6.079,7.422,-0.237,3.748,1.878,like,1
1.173,5.911,7.549,0.893,7.252,-0.176,like,1
1.128,5.868,7.676,2.107,8.13,-1.344,like,1
1.312,6.333,7.695,-6.0,0.962,0.969,like,1
1.264,6.017,7.669,-0.359,6.435,-0.527,like,1
1.211,6.019,7.719,-2.0,6.634,0.756,like,1
1.085,6.012,7.659,-3.099,0.053,3.115,like,1
1.264,5.997,7.594,-5.718,4.573,-1.282,like,1
1.362,6.44,7.47,-7.374,-16.702,24.969,like,1
1.238,5.507,7.877,0.45,-11.519,12.321,like,1
2.131,5.981,7.623,4.191,-52.084,30.924,like,1
2.258,5.677,7.214,16.321,-16.397,17.366,like,1
2.473,5.689,7.183,3.947,-1.305,7.053,like,1
2.686,5.926,7.12,15.603,-27.344,25.695,like,1
2.368,5.617,7.046,47.237,-38.313,32.015,like,1
4.456,6.716,6.12,24.16,-68.924,42.427,like,1
3.354,5.08,6.203,75.191,-55.084,27.45,like,1
4.264,6.285,5.239,114.0,-121.038,45.771,like,1
5.564,6.29,3.646,123.031,-136.031,44.176,like,1
5.677,5.059,0.946,170.023,-118.824,9.412,like,1
7.288,8.691,-2.018,176.069,-103.076,56.718,like,1
6.4,6.558,-1.64,91.511,-109.939,45.405,like,1
8.351,5.981,-2.952,-7.702,-11.206,2.542,like,1
6.823,5.653,-3.354,57.183,14.061,-46.924,like,1
6.754,7.74,-3.385,50.198,32.656,-32.328,like,1
6.886,7.132,-2.907,-17.817,29.702,-16.336,like,1
6.438,6.855,-2.519,0.473,-1.687,3.931,like,1
6.713,7.223,-2.641,-13.061,17.656,-2.45,like,1
6.893,6.761,-2.344,-9.954,3.053,7.237,like,1
6.476,6.895,-2.576,-9.099,12.435,-0.725,like,1
6.864,6.759,-2.476,-1.954,11.634,1.679,like,1
6.381,6.838,-2.272,-10.099,7.832,4.733,like,1
6.685,6.682,-2.488,0.29,6.489,2.038,like,1
6.737,6.505,-2.315,-5.214,7.13,0.015,like,1
6.718,7.005,-2.16,-0.679,8.176,0.153,like,1
6.663,6.517,-2.274,-0.481,5.366,-0.305,like,1
6.618,7.077,-2.27,-5.473,6.656,0.664,like,1
6.833,6.689,-2.365,2.718,5.489,-0.13,like,1
6.579,6.847,-2.119,-7.565,6.954,0.756,like,1
6.756,6.962,-2.105,2.771,3.992,1.595,like,1
6.668,6.378,-2.184,-3.473,5.366,-1.733,like,1
6.759,7.125,-2.241,-3.351,6.061,1.053,like,1
6.706,6.812,-2.2,1.634,5.153,-0.099,like,1
6.67,6.941,-2.102,-2.649,5.756,1.733,like,1
6.74,6.838,-2.172,-0.412,6.092,0.427,like,1
6.653,6.79,-2.15,-2.107,4.023,0.382,like,1
6.675,6.874,-2.21,-0.969,8.351,1.061,like,1
6.711,6.8,-2.148,-1.84,5.328,-1.74,like,1
6.675,6.783,-2.207,0.901,6.26,-1.794,like,1
6.735,6.855,-2.322,-1.954,4.702,-0.679,like,1
6.596,6.967,-2.061,-0.084,6.366,1.244,like,1
6.574,6.567,-2.272,0.595,3.885,-0.863,like,1
6.584,7.003,-2.042,-4.122,6.748,-1.313,like,1
6.788,6.914,-2.021,1.992,3.802,1.16,like,1
6.651,6.9,-2.107,-5.076,3.061,1.573,like,1
6.653,6.948,-2.105,0.168,6.13,0.366,like,1
6.699,6.675,-2.181,-2.435,3.649,-0.13,like,1
6.591,6.914,-2.088,-2.687,5.924,-0.168,like,1
6.776,6.814,-2.346,2.58,5.198,-0.756,like,1
6.565,6.948,-2.03,-5.107,5.435,0.725,like,1
6.766,7.032,-2.172,1.137,4.16,0.74,like,1
6.699,6.706,-2.073,-2.748,5.336,0.733,like,1
6.73,6.926,-2.152,0.672,5.611,0.435,like,1
6.553,6.754,-2.073,-3.061,4.298,0.626,like,1
6.788,6.859,-2.222,1.099,3.794,1.069,like,1
6.74,6.886,-2.193,-2.817,7.183,-1.916,like,1
6.622,6.924,-2.083,-0.008,5.603,1.794,like,1
6.639,6.79,-2.114,-1.947,4.374,0.771,like,1
6.668,6.931,-2.162,0.511,5.328,0.802,like,1
6.661,6.673,-2.035,-2.832,4.771,-1.221,like,1
6.744,7.037,-2.162,-2.664,4.618,1.748,like,1
6.692,6.783,-2.155,1.374,5.076,0.733,like,1
6.601,6.756,-2.083,-3.214,5.855,-0.137,like,1
6.642,6.898,-2.188,2.069,4.992,-0.824,like,1
6.709,6.761,-2.037,-3.198,4.847,0.221,like,1
6.596,6.874,-2.222,0.947,4.695,0.122,like,1
6.766,6.699,-2.377,-0.099,5.496,0.046,like,1
6.563,7.061,-2.105,1.031,6.351,0.13,like,1
6.697,6.814,-2.107,-1.649,3.481,1.13,like,1
6.725,7.01,-2.061,-0.947,6.626,0.221,like,1
6.697,6.807,-2.047,-1.046,4.351,0.634,like,1
6.682,7.053,-2.14,-2.649,4.176,1.267,like,1
6.658,6.682,-2.121,-1.695,4.504,1.313,like,1
6.716,6.986,-2.136,-3.969,5.244,1.672,like,1
6.699,6.788,-2.136,2.397,5.328,0.863,like,1
6.721,6.847,-2.133,-4.473,7.42,0.519,like,1
6.721,6.776,-2.191,1.038,5.237,1.084,like,1
6.91,6.756,-2.176,-2.489,6.29,0.901,like,1
6.656,6.998,-2.085,-1.71,5.282,2.565,like,1
6.644,6.74,-2.054,-0.733,6.069,0.031,like,1
6.639,6.713,-2.045,-1.542,3.908,1.756,like,1
6.522,6.661,-2.1,-0.763,5.603,-0.977,like,1
6.728,6.838,-2.071,-1.855,3.664,0.031,like,1
6.797,6.721,-2.109,-0.023,3.985,0.397,like,1
6.689,6.941,-2.184,-0.58,5.374,-2.252,like,1
6.816,6.979,-2.059,-0.221,6.458,0.634,like,1
6.692,6.859,-2.124,-5.198,6.366,0.359,like,1
6.677,6.747,-2.097,0.389,2.473,0.122,like,1
6.73,7.063,-2.088,-3.847,5.153,-0.924,like,1
6.845,6.862,-2.081,-1.168,5.038,0.634,like,1
6.701,6.989,-1.927,-5.153,5.313,1.267,like,1
6.833,6.986,-2.176,1.252,5.802,1.42,like,1
6.56,6.555,-2.025,-2.359,4.832,1.382,like,1
6.776,6.917,-2.169,-1.656,7.015,1.748,like,1
6.704,6.567,-2.047,-0.435,3.069,-0.748,like,1
6.668,6.948,-2.097,-0.198,7.74,-0.511,like,1
6.761,6.74,-1.973,-1.008,5.924,-1.214,like,1
6.732,7.072,-1.903,-1.298,5.328,1.206,like,1
6.797,6.735,-2.085,0.878,6.267,-0.313,like,1
6.742,6.893,-1.944,-3.176,6.733,0.336,like,1
6.68,6.792,-2.028,0.809,6.84,-0.977,like,1
6.718,6.953,-1.942,-2.573,5.573,0.321,like,1
6.61,6.749,-1.999,0.542,6.084,0.443,like,1
6.73,6.958,-1.891,-4.183,5.924,-2.229,like,1
6.795,6.831,-1.968,1.817,3.771,0.534,like,1
6.828,6.847,-2.028,-2.863,3.725,0.748,like,1
6.644,6.883,-1.987,0.26,4.611,2.115,like,1
6.766,6.565,-2.014,-1.382,5.786,-1.702,like,1
6.668,7.003,-1.946,-0.321,5.176,-0.237,like,1
6.752,6.721,-1.848,-1.458,2.977,-0.588,like,1
6.778,6.974,-2.081,-1.305,0.344,3.031,like,1
