ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
1.906,4.875,8.236,-1.473,5.908,-0.137,like,3
1.824,4.855,8.332,-1.458,5.252,0.489,like,3
1.935,4.939,8.308,-1.061,4.634,-0.115,like,3
1.889,4.851,8.205,-1.565,4.359,-0.076,like,3
1.911,5.013,8.344,-1.687,4.359,0.168,like,3
1.954,4.942,8.195,-1.458,4.924,-0.634,like,3
1.97,4.899,8.286,-1.679,5.053,1.053,like,3
1.911,4.875,8.212,-1.313,4.595,0.603,like,3
1.87,4.944,8.265,-2.718,5.443,2.092,like,3
1.822,4.834,8.217,-0.214,5.588,-0.031,like,3
1.827,4.92,8.248,-0.931,6.679,-0.725,like,3
1.808,4.927,8.282,-1.809,4.153,0.214,like,3
1.841,4.918,8.322,-0.076,7.313,-0.771,like,3
1.832,4.884,8.38,-1.466,4.084,-0.221,like,3
1.894,5.011,8.26,-0.954,4.985,-0.084,like,3
1.805,4.92,8.26,-2.015,3.817,1.55,like,3
1.906,4.985,8.361,-1.718,5.275,0.649,like,3
1.877,4.867,8.054,-1.656,3.626,2.473,like,3
1.745,4.812,8.301,-1.802,4.908,1.634,like,3
1.913,4.848,8.198,0.122,3.779,-1.13,like,3
1.709,4.882,8.315,-0.557,3.321,1.046,like,3
1.946,4.946,8.315,-3.13,5.695,-0.069,like,3
1.82,4.911,8.289,-1.58,2.595,1.252,like,3
1.891,4.915,8.203,-2.198,4.924,0.336,like,3
1.808,4.891,8.262,-0.855,3.679,-0.038,like,3
1.822,4.97,8.212,0.031,4.229,0.679,like,3
1.903,4.863,8.238,-1.481,6.076,0.878,like,3
1.846,4.913,8.284,-1.328,4.504,0.893,like,3
1.769,4.882,8.167,0.053,4.122,0.351,like,3
1.942,5.009,8.277,-1.71,7.336,1.504,like,3
1.872,4.82,8.346,-0.435,5.061,0.969,like,3
1.836,4.918,8.341,-0.885,6.229,0.313,like,3
1.867,4.922,8.413,-0.992,4.695,0.466,like,3
1.812,4.843,8.303,-0.863,4.244,1.122,like,3
1.87,4.8,8.238,-0.756,2.328,-0.13,like,3
1.733,4.899,8.401,-3.046,5.382,1.069,like,3
1.803,4.911,8.344,-1.313,2.992,-1.206,like,3
1.81,4.963,8.179,-2.229,5.221,-0.634,like,3
1.937,4.992,8.25,-1.374,5.397,0.221,like,3
2.018,5.021,7.827,0.198,4.931,1.412,like,3
1.915,4.812,8.171,0.443,6.092,-0.344,like,3
1.846,4.86,8.334,0.305,4.198,-0.336,like,3
1.554,4.973,8.76,1.962,-0.985,2.015,like,3
2.088,5.574,8.638,-10.336,-19.603,35.397,like,3
3.024,4.063,8.315,5.962,-32.267,22.718,like,3
2.768,4.879,8.557,35.748,-46.244,-0.168,like,3
3.709,4.606,7.908,44.809,-78.473,4.534,like,3
3.814,5.397,7.647,91.84,-78.656,-33.74,like,3
3.383,6.943,5.885,83.893,-87.473,-34.992,like,3
3.97,6.239,4.685,115.763,-56.573,-60.885,like,3
4.128,7.815,4.223,109.45,-60.794,-32.542,like,3
3.079,7.113,2.454,150.412,-54.901,-63.046,like,3
3.273,9.354,0.929,149.969,-66.489,-37.046,like,3
3.278,9.215,-0.5,164.496,-44.282,-33.908,like,3
3.139,10.238,-1.987,155.405,-34.573,-13.183,like,3
2.274,9.687,-2.514,110.565,-14.328,1.13,like,3
3.196,7.887,-4.116,107.855,-28.656,-9.641,like,3
3.225,8.734,-4.882,64.374,-5.603,-8.687,like,3
2.356,7.918,-4.8,62.191,-3.443,-14.855,like,3
2.842,7.91,-5.43,43.45,-9.733,-3.267,like,3
2.832,7.884,-6.136,43.168,-11.435,-5.557,like,3
2.693,7.714,-6.39,3.198,2.656,-4.893,like,3
2.169,6.924,-5.844,3.115,7.008,-4.573,like,3
2.562,7.582,-6.287,2.679,-2.687,1.947,like,3
2.71,7.367,-6.381,-21.817,19.908,-7.542,like,3
2.155,6.953,-5.605,-18.282,13.374,-6.038,like,3
2.543,7.652,-5.981,-4.893,1.26,-0.679,like,3
2.246,7.377,-5.655,-4.824,7.786,-3.321,like,3
2.61,7.657,-5.868,2.557,2.031,-0.695,like,3
2.519,7.805,-5.95,2.611,3.542,-0.748,like,3
2.31,7.64,-5.789,-1.847,3.931,-0.099,like,3
2.435,7.506,-5.875,-2.58,2.954,0.008,like,3
2.289,7.367,-5.863,-2.237,5.405,-1.481,like,3
2.164,7.415,-5.792,3.626,1.382,-0.542,like,3
2.423,7.772,-5.861,-2.427,-3.71,5.947,like,3
2.222,7.357,-5.918,-0.58,2.29,-1.809,like,3
2.322,7.688,-5.899,3.962,-3.466,1.847,like,3
2.406,7.539,-6.081,1.321,3.206,-0.962,like,3
2.318,7.57,-5.916,-3.641,4.679,0.443,like,3
2.306,7.503,-6.026,-1.084,3.069,-0.237,like,3
2.198,7.417,-5.978,-2.008,4.481,0.985,like,3
2.377,7.563,-6.098,-3.389,5.939,-0.382,like,3
2.224,7.386,-5.923,0.687,3.267,0.344,like,3
2.186,7.36,-5.978,-0.382,5.061,-0.137,like,3
2.337,7.527,-6.151,-4.115,6.321,-0.466,like,3
2.105,7.381,-5.847,1.939,2.008,0.588,like,3
2.277,7.448,-6.045,-0.931,4.366,-0.779,like,3
2.191,7.446,-5.883,-2.031,6.076,-2.221,like,3
2.263,7.616,-5.947,-4.618,5.084,-0.511,like,3
2.234,7.573,-5.974,-0.534,3.84,-1.634,like,3
2.121,7.393,-5.986,-0.718,4.87,-1.221,like,3
1.961,7.513,-5.847,5.977,0.702,0.191,like,3
2.298,7.604,-6.196,-10.053,10.397,-2.046,like,3
2.303,7.645,-6.057,3.489,4.565,0.26,like,3
2.243,7.506,-6.029,-3.718,4.908,1.656,like,3
2.193,7.513,-5.962,-1.191,5.634,-0.305,like,3
2.157,7.671,-6.002,-1.176,4.29,0.267,like,3
2.172,7.494,-5.976,-2.885,4.305,-0.664,like,3
2.112,7.506,-5.911,-0.809,4.71,-1.099,like,3
2.198,7.477,-5.911,-1.702,4.275,0.588,like,3
2.1,7.417,-5.918,-2.603,5.817,-0.718,like,3
2.27,7.36,-5.957,-3.336,3.305,0.565,like,3
2.069,7.511,-6.043,-1.992,4.84,-2.344,like,3
2.081,7.599,-5.854,-2.489,4.855,-0.71,like,3
2.16,7.695,-5.95,-1.634,3.656,0.58,like,3
2.021,7.472,-5.93,-3.076,5.588,-1.267,like,3
2.128,7.661,-5.878,-1.481,3.725,0.244,like,3
2.124,7.494,-5.918,-3.824,5.359,-1.137,like,3
2.083,7.805,-5.854,-1.565,5.076,-0.557,like,3
2.121,7.671,-5.839,-1.802,4.046,-0.527,like,3
2.136,7.683,-5.94,-2.626,5.687,-0.672,like,3
2.112,7.628,-5.938,-2.366,4.481,-0.176,like,3
2.095,7.633,-5.887,-1.305,4.885,0.45,like,3
2.073,7.59,-5.902,-1.336,5.672,-0.641,like,3
2.03,7.609,-5.887,-1.771,4.733,-0.282,like,3
2.03,7.745,-5.902,-4.992,5.992,-2.366,like,3
1.975,7.458,-5.799,-3.84,6.305,-1.229,like,3
1.985,7.626,-5.827,0.382,5.061,-0.374,like,3
2.109,7.657,-5.804,-2.542,5.45,-2.183,like,3
1.97,7.685,-5.789,-0.053,3.458,0.176,like,3
2.066,7.69,-5.904,-3.191,4.58,-1.618,like,3
2.016,7.829,-5.95,-1.084,4.053,0.87,like,3
2.014,7.717,-5.904,-3.519,5.511,-0.244,like,3
2.049,7.712,-5.82,-0.191,6.565,-0.176,like,3
2.047,7.709,-5.813,-1.298,4.855,0.092,like,3
1.978,7.587,-5.82,-3.229,5.565,0.046,like,3
1.978,7.64,-5.792,-0.412,5.695,-0.977,like,3
2.061,7.676,-5.808,-0.649,4.29,-0.198,like,3
2.025,7.597,-5.777,-3.466,6.023,-0.908,like,3
1.966,7.714,-5.693,-0.305,4.366,-1.458,like,3
1.968,7.752,-5.866,-2.008,4.42,-0.977,like,3
1.973,7.676,-5.77,-2.817,5.008,-0.985,like,3
1.937,7.76,-5.82,-1.84,5.176,-1.298,like,3
1.956,7.705,-5.705,-0.397,4.504,-0.053,like,3
1.911,7.714,-5.768,-2.718,4.466,-0.29,like,3
1.973,7.76,-5.61,-3.061,4.794,0.542,like,3
1.973,7.827,-5.737,-2.702,3.863,1.305,like,3
1.894,7.793,-5.737,-0.763,4.74,1.153,like,3
2.021,7.764,-5.78,-2.664,5.351,0.099,like,3
1.968,7.685,-5.684,-1.351,4.122,0.992,like,3
