ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
1.24,3.517,9.333,-3.947,5.221,4.947,like,4
1.573,3.656,8.842,-11.107,10.427,7.099,like,4
1.305,2.942,9.304,-14.611,8.985,5.45,like,4
0.979,3.27,9.481,-10.412,4.916,-0.405,like,4
1.188,3.096,9.074,-4.412,1.573,0.557,like,4
1.166,2.856,9.318,-4.985,6.191,0.405,like,4
1.542,2.816,9.048,-12.0,6.359,0.863,like,4
1.501,2.768,9.103,0.855,6.74,-0.863,like,4
1.192,2.919,9.27,-3.557,7.802,-4.069,like,4
1.128,3.05,9.337,-3.71,5.076,-1.687,like,4
1.147,2.796,9.175,-3.061,6.351,-1.053,like,4
1.374,2.411,9.371,-4.084,9.214,-1.214,like,4
1.269,2.837,9.457,-3.756,9.122,-4.122,like,4
1.032,2.878,9.613,-7.397,6.046,-5.695,like,4
1.02,2.907,9.613,1.779,3.13,-5.748,like,4
1.164,2.959,9.416,-5.282,3.061,-1.611,like,4
1.223,2.859,9.345,-2.267,1.656,0.321,like,4
1.298,2.746,9.184,-4.397,4.542,-0.626,like,4
1.235,2.938,9.33,-4.794,5.611,-1.824,like,4
1.111,3.026,9.469,2.069,2.298,0.611,like,4
1.219,3.065,9.067,-1.916,3.015,3.183,like,4
1.223,2.806,9.404,-3.0,6.115,0.947,like,4
1.154,2.705,9.371,-0.313,2.931,0.366,like,4
1.221,2.691,9.316,-2.855,4.939,0.527,like,4
1.152,2.535,9.395,-1.901,3.908,0.908,like,4
1.226,2.629,9.503,-1.275,5.267,0.832,like,4
1.18,2.638,9.51,0.931,3.748,0.42,like,4
1.233,2.768,9.316,-1.687,3.603,1.282,like,4
1.223,2.629,9.38,-1.58,4.649,1.466,like,4
1.231,2.904,9.246,-3.71,4.084,0.427,like,4
1.183,2.792,9.33,-0.16,4.099,0.26,like,4
1.226,2.799,9.285,-2.389,5.435,-0.084,like,4
1.235,2.705,9.4,0.565,4.802,-0.557,like,4
1.276,2.703,9.38,-2.397,5.267,0.092,like,4
1.183,2.701,9.481,1.038,3.603,0.275,like,4
1.281,2.71,9.287,-2.893,4.947,0.702,like,4
1.214,2.655,9.366,-1.176,3.527,-0.038,like,4
1.207,2.84,9.23,-1.748,5.687,-0.137,like,4
1.219,2.789,9.287,-0.603,5.115,0.557,like,4
1.204,2.749,9.369,-1.55,4.702,0.473,like,4
1.149,2.739,9.325,1.282,4.519,-0.565,like,4
1.238,2.849,9.34,-4.779,5.16,1.542,like,4
1.216,2.665,9.424,-0.023,3.947,0.198,like,4
1.243,2.626,9.395,-1.0,5.168,-0.542,like,4
1.216,2.722,9.448,-3.046,4.382,0.397,like,4
1.262,2.796,9.354,-1.969,4.061,0.595,like,4
1.216,2.749,9.462,-1.389,4.076,0.924,like,4
1.228,2.629,9.445,0.031,4.298,0.802,like,4
1.228,2.729,9.5,-0.756,4.282,0.366,like,4
1.264,2.444,9.474,-6.084,3.405,1.603,like,4
1.238,2.727,9.534,-5.542,3.534,1.603,like,4
1.279,2.65,9.254,1.733,3.702,0.679,like,4
1.247,2.444,9.357,-3.42,5.023,0.733,like,4
1.286,2.535,9.491,0.58,3.374,-0.069,like,4
1.24,2.753,9.361,-3.031,4.847,0.939,like,4
1.171,2.792,9.402,5.641,1.145,3.427,like,4
1.401,1.702,9.85,57.336,-13.282,-4.237,like,4
2.564,3.072,8.399,70.45,-8.015,-14.435,like,4
1.575,4.228,8.26,209.092,18.527,-44.153,like,4
1.41,6.606,8.021,83.824,-27.893,0.252,like,4
1.827,6.155,6.759,171.618,12.504,-22.237,like,4
2.057,4.894,6.862,89.969,-28.618,-3.718,like,4
