ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
-3.792,-1.049,9.637,1.237,-1.076,1.489,nada,5
-3.716,-1.034,9.527,-0.244,-0.336,0.969,nada,5
-3.919,-1.192,9.697,0.84,-0.794,1.305,nada,5
-3.639,-1.204,9.476,-0.328,-1.115,1.168,nada,5
-3.615,-1.101,9.395,-1.374,0.0,-0.534,nada,5
-3.836,-1.077,9.515,1.626,-0.748,0.038,nada,5
-3.697,-1.008,9.34,0.664,1.061,-0.412,nada,5
-3.682,-1.147,9.534,0.214,1.87,0.061,nada,5
-4.159,-1.93,9.38,-4.695,15.069,0.466,nada,5
-3.792,-0.958,9.742,-1.084,-2.908,-1.611,nada,5
-3.675,-1.226,9.716,2.656,3.634,1.756,nada,5
-3.924,-1.085,9.754,0.061,-0.481,0.87,nada,5
-3.776,-0.946,9.278,-0.359,1.618,0.237,nada,5
-3.757,-1.132,9.618,0.84,-0.313,2.748,nada,5
-3.721,-1.077,9.639,-1.321,-1.542,1.435,nada,5
-3.78,-1.176,9.562,-0.046,0.397,0.595,nada,5
-3.699,-1.097,9.05,-1.328,2.038,0.435,nada,5
-3.881,-1.326,9.606,-0.443,-0.282,-0.786,nada,5
-3.682,-1.041,9.237,0.962,0.863,0.122,nada,5
-3.697,-1.118,9.505,0.267,-2.076,-0.351,nada,5
-3.644,-0.587,9.56,-1.282,-6.824,-1.954,nada,5
-3.548,-1.429,9.459,3.649,1.107,-0.466,nada,5
-3.721,-1.099,9.838,-2.16,1.412,-1.809,nada,5
-3.778,-0.613,9.754,-0.069,-0.008,-0.122,nada,5
-3.654,-1.003,9.62,-3.359,5.015,2.969,nada,5
-3.752,-1.188,9.799,-5.0,2.702,-0.466,nada,5
-3.74,-1.156,9.653,-1.427,0.511,1.427,nada,5
-3.826,-1.233,9.567,-0.802,-2.725,0.359,nada,5
-3.61,-1.173,9.251,1.664,-0.969,0.305,nada,5
-3.713,-1.312,9.448,2.611,-0.099,-0.802,nada,5
-3.776,-1.063,9.376,2.687,1.84,-1.252,nada,5
-3.843,-1.02,9.646,1.847,2.924,1.405,nada,5
-3.773,-1.219,9.792,-0.58,3.137,0.863,nada,5
-3.735,-1.192,9.778,-0.351,-0.855,0.626,nada,5
-3.929,-1.185,9.694,0.42,-0.244,-0.534,nada,5
-3.73,-1.113,9.538,0.046,-0.779,0.351,nada,5
-3.876,-1.238,9.598,0.771,-1.519,-1.328,nada,5
-3.73,-0.939,9.419,0.122,-0.611,-0.504,nada,5
-3.764,-1.154,9.44,1.649,1.267,-0.519,nada,5
-3.711,-1.089,9.591,0.282,0.847,-0.061,nada,5
-3.711,-1.12,9.711,-0.046,0.756,-0.198,nada,5
-3.847,-0.965,9.749,0.389,0.092,0.664,nada,5
-3.718,-1.221,9.606,1.168,-0.565,0.847,nada,5
-3.8,-0.946,9.596,-0.718,-0.305,0.473,nada,5
-3.84,-1.168,9.606,0.298,0.107,1.786,nada,5
-3.788,-1.053,9.471,-1.023,-0.374,0.74,nada,5
-3.718,-1.197,9.548,-0.969,0.023,1.122,nada,5
-3.819,-1.12,9.543,-0.099,-1.015,0.214,nada,5
-3.771,-1.25,9.555,0.244,1.069,1.504,nada,5
-3.737,-1.255,9.694,-0.87,-0.443,0.099,nada,5
-3.651,-1.276,9.455,0.069,-0.74,-0.458,nada,5
-3.632,-1.166,9.507,-0.466,0.969,0.176,nada,5
-3.757,-1.19,9.471,-1.153,-0.382,0.008,nada,5
-3.622,-1.209,9.553,1.748,0.931,-0.084,nada,5
-3.907,-1.025,9.62,3.344,-0.969,-0.679,nada,5
-3.579,-0.771,9.424,5.855,-4.916,1.16,nada,5
-3.505,-0.697,9.467,1.336,1.649,3.405,nada,5
-3.646,-0.759,9.246,1.214,-0.74,2.206,nada,5
-3.754,-0.733,9.529,-4.168,3.718,3.382,nada,5
-4.051,-1.793,9.857,1.527,6.87,1.344,nada,5
-3.816,-1.228,9.675,-0.336,-6.466,-2.542,nada,5
-3.359,-1.192,9.598,3.672,0.832,-3.939,nada,5
-3.953,-0.687,9.96,5.374,-13.053,-7.214,nada,5
-3.668,-0.644,9.859,3.023,-8.885,-5.725,nada,5
