ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
0.223,5.399,8.104,-0.229,3.687,1.221,nada,1
0.239,5.459,8.181,-0.061,4.87,-0.344,nada,1
0.177,5.279,8.159,0.145,5.718,-0.305,nada,1
0.323,5.447,8.083,1.298,7.389,-0.55,nada,1
0.292,5.461,8.131,-0.16,5.344,0.656,nada,1
0.335,5.523,8.112,0.008,5.519,-0.275,nada,1
0.196,5.538,8.176,-2.122,8.282,0.389,nada,1
0.156,5.586,8.119,0.328,6.061,1.084,nada,1
0.129,5.397,8.171,-0.847,8.802,-1.412,nada,1
0.124,5.418,8.135,-0.198,2.695,1.847,nada,1
0.242,5.44,8.078,-1.366,6.221,-0.74,nada,1
0.271,5.617,8.064,-1.878,3.534,2.015,nada,1
0.232,5.471,8.061,-1.779,6.725,-0.947,nada,1
0.146,5.547,8.083,-1.26,2.061,2.496,nada,1
0.227,5.382,7.997,-1.344,8.824,-0.542,nada,1
0.079,5.557,8.176,-1.634,3.748,1.656,nada,1
0.091,5.397,8.08,1.672,5.87,-1.046,nada,1
0.136,5.502,8.071,-2.214,6.015,-0.313,nada,1
0.144,5.48,7.956,-0.084,6.275,-1.145,nada,1
0.134,5.576,8.143,-1.656,4.588,0.053,nada,1
0.172,5.516,8.112,-0.466,6.458,-1.939,nada,1
0.206,5.744,8.033,-1.527,3.084,2.069,nada,1
0.12,5.356,8.143,2.336,4.458,-0.336,nada,1
0.129,5.617,8.011,-1.748,6.305,-0.008,nada,1
0.091,5.456,8.08,-1.244,5.084,-0.145,nada,1
0.062,5.523,8.188,-2.565,5.053,0.137,nada,1
0.067,5.509,8.088,0.122,4.198,0.695,nada,1
0.031,5.418,8.071,-0.832,5.786,-0.748,nada,1
0.103,5.49,8.049,-3.031,3.916,1.031,nada,1
0.117,5.54,7.942,-0.336,4.008,0.061,nada,1
0.148,5.461,8.059,-3.405,6.641,0.595,nada,1
0.153,5.619,8.15,-0.344,4.061,-0.336,nada,1
0.065,5.48,8.195,0.504,5.099,0.122,nada,1
0.045,5.521,8.078,-1.099,5.374,0.031,nada,1
0.127,5.499,8.049,-1.603,4.229,0.443,nada,1
0.122,5.66,8.066,-2.061,3.977,1.107,nada,1
0.065,5.538,8.078,-1.13,5.122,0.473,nada,1
0.213,5.516,7.958,-1.252,5.008,1.962,nada,1
0.089,5.37,8.035,-1.458,5.84,0.634,nada,1
0.086,5.54,8.03,-0.26,4.931,0.725,nada,1
0.053,5.363,8.009,-2.412,7.107,-0.962,nada,1
0.196,5.6,7.994,-0.626,2.26,2.229,nada,1
0.136,5.497,8.102,-1.351,4.977,0.435,nada,1
0.192,5.567,8.097,-1.42,4.565,0.832,nada,1
0.12,5.499,8.164,-2.557,6.229,0.198,nada,1
0.136,5.406,8.107,0.786,1.954,1.031,nada,1
0.113,5.557,8.097,-3.252,7.023,0.282,nada,1
0.129,5.406,8.054,-0.115,4.519,-0.664,nada,1
0.06,5.583,8.138,-1.74,5.679,0.214,nada,1
0.115,5.511,8.071,-1.405,5.55,0.527,nada,1
0.124,5.547,8.152,-2.168,4.656,0.504,nada,1
0.132,5.528,8.037,-0.863,3.565,0.771,nada,1
0.148,5.49,8.08,-3.069,5.672,1.214,nada,1
0.151,5.492,8.124,-0.71,4.634,0.763,nada,1
0.055,5.394,8.088,-1.985,5.0,0.382,nada,1
-0.026,5.358,8.181,0.641,4.519,0.191,nada,1
0.098,5.385,8.095,-2.603,5.382,0.275,nada,1
0.12,5.459,8.104,0.45,3.679,0.565,nada,1
0.132,5.485,8.083,-1.779,6.076,-0.26,nada,1
0.074,5.454,8.085,-1.603,4.931,0.863,nada,1
0.098,5.516,8.042,-1.786,4.534,0.45,nada,1
0.153,5.49,8.078,-1.641,5.42,1.183,nada,1
0.144,5.514,8.035,-0.824,4.336,0.069,nada,1
0.12,5.535,8.145,-0.092,4.824,2.153,nada,1
-0.034,5.382,8.2,-4.58,5.359,0.42,nada,1
0.065,5.531,8.054,1.924,3.053,1.672,nada,1
0.11,5.425,8.155,-2.008,5.893,-0.382,nada,1
0.177,5.59,7.994,-0.573,4.336,1.351,nada,1
0.034,5.444,8.131,-1.412,4.725,0.985,nada,1
0.103,5.373,8.09,-2.679,5.305,-0.282,nada,1
0.115,5.531,8.092,0.214,2.794,0.412,nada,1
0.113,5.499,8.042,-2.42,4.893,-0.611,nada,1
0.16,5.619,8.013,-0.908,5.855,0.267,nada,1
0.227,5.504,8.054,-2.611,5.061,0.511,nada,1
0.105,5.578,8.128,0.573,7.267,0.809,nada,1
0.06,5.38,8.329,-3.435,6.076,1.779,nada,1
0.151,5.497,8.15,-0.183,5.26,0.763,nada,1
-0.029,5.413,8.15,-4.008,5.092,0.183,nada,1
0.022,5.468,8.033,-0.046,4.649,0.901,nada,1
0.026,5.318,8.047,-2.489,5.603,0.053,nada,1
-0.019,5.504,7.944,0.656,5.656,0.244,nada,1
0.096,5.444,8.004,-2.237,6.534,0.611,nada,1
0.017,5.583,7.999,1.16,6.481,0.321,nada,1
-0.067,5.416,8.294,-1.84,6.771,1.336,nada,1
0.014,5.492,8.298,-0.237,5.191,1.053,nada,1
-0.05,5.409,8.143,-2.237,4.45,0.015,nada,1
-0.01,5.555,8.04,-1.702,4.405,0.779,nada,1
-0.086,5.418,8.018,0.191,5.916,-0.71,nada,1
0.182,5.559,8.078,0.725,2.13,-0.336,nada,1
0.091,5.622,8.277,-4.053,7.557,-0.176,nada,1
0.132,5.555,8.155,-0.473,2.809,1.634,nada,1
0.014,5.425,8.179,-2.656,8.046,-0.687,nada,1
0.077,5.464,8.191,-0.702,4.115,0.542,nada,1
0.081,5.466,8.097,-1.977,3.931,1.053,nada,1
-0.227,5.377,8.222,1.481,4.511,1.244,nada,1
-0.045,5.315,7.937,-0.954,7.099,-0.321,nada,1
0.096,5.677,7.661,-2.076,8.344,1.42,nada,1
0.098,5.691,7.841,1.221,5.511,1.626,nada,1
0.014,5.638,8.181,-2.359,10.0,1.908,nada,1
-0.175,5.638,8.356,-0.519,5.145,0.427,nada,1
-0.204,5.531,8.408,-1.092,4.344,0.275,nada,1
-0.311,5.26,8.282,-0.618,-1.649,-2.618,nada,1
-0.065,5.629,8.126,-2.954,2.641,-2.015,nada,1
