ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps
1.867,5.119,7.123,-35.908,1.115,28.053
1.238,4.922,7.345,-25.168,-2.824,10.0
1.803,4.932,6.333,-11.878,-12.252,-4.901
2.066,4.992,6.503,-8.885,-6.771,-9.366
2.416,5.488,6.27,3.023,-7.496,-14.969
2.184,5.873,7.333,-4.038,2.0,2.176
2.349,4.829,7.331,-1.145,-7.55,7.099
2.777,4.662,7.391,1.0,11.473,10.733
2.808,4.523,8.097,1.794,10.053,7.802
3.014,4.614,8.114,1.947,6.061,4.748
2.935,4.527,7.865,-6.847,3.092,3.725
3.139,4.681,8.437,-6.435,6.145,1.489
2.94,4.75,8.301,0.504,5.45,-4.038
2.933,4.851,8.14,-8.863,6.527,3.55
2.847,4.76,8.016,-0.26,4.412,-3.626
2.94,4.932,7.896,-7.298,6.794,2.237
3.093,4.717,7.942,-0.527,6.13,-2.153
2.842,4.81,8.124,-2.115,5.527,0.992
3.069,4.836,7.867,-4.115,7.122,1.992
2.828,4.796,8.135,-2.901,8.351,2.473
2.883,4.539,8.147,-1.237,2.16,0.084
2.938,4.879,7.977,-1.557,6.305,1.198
2.806,4.511,8.176,-3.725,1.557,2.496
2.942,4.798,7.989,2.252,5.634,-3.145
2.916,4.75,8.104,-6.206,8.145,2.962
2.907,4.626,7.946,-3.641,12.687,3.405
2.691,4.422,8.535,-4.282,5.87,3.855
2.954,4.946,8.068,4.099,0.893,-4.931
2.756,4.594,8.298,-4.374,5.87,0.84
2.909,4.831,8.066,-0.221,1.397,-1.588
2.871,4.791,8.219,-3.962,6.58,2.466
2.94,4.65,8.088,-1.878,1.099,1.695
2.828,4.736,8.064,-0.42,5.191,-1.534
2.945,4.767,8.195,-2.611,3.656,0.87
2.868,4.618,8.124,-0.214,5.145,1.282
2.871,4.549,8.102,-1.756,3.336,1.389
2.84,4.76,8.104,-1.901,3.992,0.519
2.89,4.563,8.262,-2.053,3.924,2.481
2.981,4.611,7.999,-1.626,2.878,0.855
2.83,4.494,8.121,-1.191,6.336,-0.634
2.916,4.494,8.09,-2.046,1.924,-0.969
2.861,4.769,8.025,-1.641,7.687,-0.046
2.921,4.571,8.205,-2.618,2.947,1.542
2.823,4.702,7.822,-0.87,4.718,0.168
2.837,4.439,8.181,-2.107,7.038,0.649
2.971,4.855,8.205,-2.237,6.473,0.641
2.897,4.583,8.159,0.252,3.664,-1.351
2.842,4.688,8.296,-2.817,7.366,0.664
2.844,4.446,8.253,-0.832,1.214,0.656
2.914,4.707,7.968,-2.435,5.771,0.71
2.878,4.527,8.207,0.74,0.534,-2.115
2.902,4.638,8.045,-4.84,7.573,1.389
2.78,4.738,8.212,0.229,2.427,-2.908
2.816,4.903,7.934,-3.985,3.885,1.626
2.832,4.673,8.222,-1.611,3.786,2.16
3.105,4.578,8.124,0.557,0.481,0.046
2.988,4.64,8.334,-1.794,5.473,0.122
2.954,4.544,8.392,-2.611,-0.962,0.45
3.187,4.899,8.025,-0.748,4.565,-0.802
2.873,4.587,8.32,-2.206,1.183,2.725
3.005,4.434,7.788,-4.076,4.145,0.863
2.77,4.657,8.15,-4.092,3.878,3.74
2.933,4.506,8.176,-0.099,4.817,-0.603
3.033,4.544,8.045,-3.763,6.969,2.237
2.928,4.578,8.267,-0.427,2.954,0.595
3.136,4.59,7.994,-0.435,5.802,-0.863
2.854,4.511,8.373,-1.702,4.321,0.71
3.021,4.726,7.774,1.405,6.031,-0.603
2.878,4.618,8.224,-3.466,5.397,2.053
3.086,4.685,8.042,2.359,5.176,-2.351
3.084,4.496,8.298,-2.237,4.931,2.458
3.11,4.489,8.2,-1.321,4.069,0.183
2.78,4.568,8.277,-1.305,2.832,1.672
3.002,4.578,8.073,0.176,2.885,-2.641
2.919,4.537,8.217,-2.191,3.832,-0.626
3.141,4.623,8.159,-2.038,5.992,-0.992
3.05,4.446,8.2,-2.588,4.992,0.0
3.005,4.527,8.1,-2.511,4.489,-0.756
2.969,4.671,8.303,-2.351,3.55,1.107
3.05,4.448,8.071,-0.664,4.748,-1.107
3.002,4.671,7.946,-1.664,3.489,1.45
3.029,4.484,8.037,0.557,4.031,0.099
3.031,4.554,8.167,-2.305,6.756,3.244
2.914,4.427,8.198,2.344,4.832,-2.809
3.002,4.664,8.167,-2.947,6.069,2.588
2.993,4.429,8.179,-0.748,4.969,-0.908
2.892,4.456,8.095,-0.313,5.031,-1.656
3.033,4.697,8.066,-2.565,6.122,0.473
2.95,4.424,8.176,0.153,3.565,-1.115
3.031,4.729,8.073,-2.641,6.779,0.763
2.969,4.448,8.219,0.336,3.45,0.008
3.057,4.585,8.066,-2.298,5.321,0.664
2.945,4.489,8.308,-1.313,3.305,0.305
2.952,4.712,8.033,-2.397,5.435,1.672
2.95,4.511,8.183,-0.611,3.901,0.16
2.921,4.539,8.109,-1.092,5.939,1.511
2.904,4.46,8.15,-0.504,3.458,-0.817
2.916,4.58,8.162,-3.176,7.824,1.435
2.957,4.635,8.25,0.534,3.214,-0.092
2.95,4.547,8.097,0.16,4.992,-0.702
2.904,4.626,8.262,-0.87,3.756,1.008
2.942,4.451,8.035,-2.718,7.061,3.031
2.871,4.415,8.368,-2.008,4.496,0.046
3.057,4.642,8.095,-1.71,5.664,-0.466
2.911,4.554,8.277,-2.603,5.573,1.611
3.045,4.583,8.073,-1.382,4.038,0.023
2.902,4.432,8.279,-2.618,5.733,1.962
2.931,4.458,8.116,-1.099,4.237,0.573
2.931,4.463,8.253,-2.618,6.588,1.702
2.868,4.441,8.164,-1.221,4.611,-0.031
2.861,4.422,8.229,-2.359,5.687,0.771
2.904,4.489,8.267,-2.084,6.137,0.802
2.954,4.513,8.234,-2.641,5.855,1.321
2.931,4.429,8.265,-2.458,6.374,-0.427
2.931,4.539,8.171,-3.145,7.084,1.893
2.942,4.355,8.267,-0.939,4.504,0.29
2.789,4.499,8.116,-4.466,7.542,2.496
2.739,4.302,8.365,-1.595,4.748,0.206
2.794,4.566,8.021,-1.137,3.153,0.176
2.729,4.295,7.81,-1.511,5.145,0.252
2.643,4.29,7.858,1.344,6.718,-2.16
2.444,4.372,8.135,-0.901,12.786,-3.649
2.377,4.204,7.987,1.489,8.718,-7.198
2.394,4.532,8.193,0.733,14.389,-4.214
2.377,3.998,9.005,-20.847,36.061,16.023
2.274,3.716,8.705,-17.275,32.473,4.664
2.243,3.96,8.983,-2.733,15.168,-14.275
2.634,5.696,8.531,7.878,2.443,-16.412
2.423,5.394,9.098,1.527,3.542,3.618
2.286,4.537,8.961,4.282,-4.641,8.58
2.284,4.07,8.432,3.687,-7.359,13.779
2.49,3.967,7.638,1.504,-12.237,19.748
