ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
2.193,5.066,7.585,4.756,13.038,1.519,nada,3
1.836,5.411,7.604,11.779,21.206,-3.511,nada,3
1.867,5.373,8.018,-5.534,4.092,0.641,nada,3
1.939,5.693,7.898,-8.962,3.649,3.023,nada,3
1.925,5.344,7.714,-2.511,1.672,-2.527,nada,3
2.155,5.411,7.444,-6.84,4.74,2.931,nada,3
2.248,5.167,7.752,-3.565,7.168,1.939,nada,3
2.251,5.38,7.805,-4.176,10.786,-0.42,nada,3
2.102,5.32,7.609,-9.198,11.481,-2.053,nada,3
1.918,5.052,7.994,-0.443,-0.832,-3.458,nada,3
1.913,4.932,8.009,0.71,-0.305,4.183,nada,3
2.124,5.435,7.901,4.153,-8.672,8.542,nada,3
2.227,5.205,7.681,-3.649,-6.153,4.153,nada,3
2.272,5.449,7.791,-3.74,12.13,0.733,nada,3
2.339,5.222,7.922,-2.595,6.687,0.855,nada,3
2.181,5.464,7.989,-1.718,10.534,-1.641,nada,3
2.267,5.298,8.042,-1.229,6.664,1.061,nada,3
2.258,5.389,8.059,2.771,3.244,1.053,nada,3
2.083,5.282,7.939,-1.664,7.656,-0.756,nada,3
2.078,5.085,7.599,-1.389,5.481,1.282,nada,3
2.184,5.246,8.021,0.427,6.061,-0.344,nada,3
2.105,5.248,7.961,-3.153,7.527,-0.13,nada,3
2.088,5.143,7.977,0.183,4.244,0.015,nada,3
2.212,5.363,8.03,-7.565,11.321,3.641,nada,3
1.894,5.274,8.365,-4.176,4.061,0.351,nada,3
2.049,5.375,7.824,-1.244,2.198,-0.733,nada,3
2.061,5.344,7.958,-4.344,6.351,3.053,nada,3
2.155,5.092,7.901,-0.198,3.557,-2.504,nada,3
2.028,5.327,8.114,-3.809,5.565,1.351,nada,3
2.126,5.262,8.08,-0.115,4.489,0.229,nada,3
2.114,5.272,8.071,-3.939,3.443,2.26,nada,3
2.133,5.116,7.942,-0.206,5.542,-0.534,nada,3
2.076,5.243,7.985,-0.618,2.122,1.458,nada,3
2.083,5.08,8.009,-1.893,5.595,0.122,nada,3
2.145,5.188,8.049,-2.878,4.824,1.298,nada,3
2.172,5.258,7.906,-1.084,5.298,1.725,nada,3
2.078,5.133,8.052,-0.954,3.42,1.153,nada,3
2.083,5.447,7.769,2.0,7.038,-1.954,nada,3
2.109,5.306,8.119,-1.328,6.038,3.397,nada,3
2.138,5.059,7.903,-0.221,4.206,2.809,nada,3
2.033,5.121,8.339,-2.565,7.168,1.74,nada,3
2.26,5.219,7.956,1.145,1.863,-0.618,nada,3
2.009,5.21,8.104,-3.786,7.733,3.221,nada,3
2.085,5.033,8.121,0.244,1.962,-1.74,nada,3
2.145,5.351,7.891,-3.977,5.13,1.672,nada,3
2.057,5.116,8.14,-0.809,3.626,1.061,nada,3
1.781,5.191,7.939,-2.237,5.015,-0.244,nada,3
2.028,5.112,8.018,-2.817,5.557,-0.008,nada,3
2.16,5.361,8.188,-2.412,3.695,0.824,nada,3
2.188,5.088,7.963,-0.496,1.481,2.489,nada,3
2.128,5.14,8.143,-1.275,6.481,0.878,nada,3
2.107,5.049,8.016,-0.71,0.641,-0.74,nada,3
2.037,5.282,8.037,-1.847,8.664,-0.328,nada,3
2.088,5.085,8.198,-0.275,4.924,-1.466,nada,3
2.09,5.289,7.949,-1.176,5.748,-0.947,nada,3
2.097,5.181,8.025,-3.282,6.359,1.351,nada,3
2.155,5.255,8.193,-1.168,2.656,0.634,nada,3
2.16,5.274,7.867,-2.023,6.267,0.328,nada,3
2.198,5.258,8.373,-2.634,6.321,3.221,nada,3
2.107,4.92,7.956,3.229,3.863,-1.878,nada,3
1.997,5.138,8.116,-5.695,5.916,3.458,nada,3
2.025,5.018,8.195,0.328,4.13,-1.076,nada,3
1.999,5.231,8.049,-1.557,6.122,-1.145,nada,3
2.057,4.985,7.994,-5.198,3.847,0.695,nada,3
2.059,5.229,8.219,-0.672,4.542,-1.603,nada,3
2.109,5.104,8.073,-5.496,5.252,1.435,nada,3
2.028,5.097,8.143,-1.794,5.321,-0.305,nada,3
2.155,5.217,8.021,-1.336,5.58,-0.496,nada,3
2.042,4.978,8.186,-2.031,5.26,-0.267,nada,3
2.128,5.31,8.033,-4.053,3.527,0.534,nada,3
2.03,5.143,8.107,-3.015,3.885,2.16,nada,3
2.057,5.171,8.052,-1.168,5.023,0.13,nada,3
2.018,5.061,8.08,-1.489,2.947,0.992,nada,3
2.093,5.203,8.006,-2.084,5.786,1.084,nada,3
2.047,5.025,8.114,0.053,3.557,1.344,nada,3
2.083,5.004,8.088,-0.718,6.198,0.55,nada,3
2.131,4.934,8.116,-1.74,4.069,1.481,nada,3
2.116,5.262,8.159,-1.542,6.58,-0.725,nada,3
2.093,5.052,8.03,-0.931,4.817,-0.504,nada,3
2.049,5.164,8.071,-1.954,5.282,-0.45,nada,3
1.997,5.183,8.102,-0.763,5.015,0.26,nada,3
2.174,5.088,8.025,-1.031,3.58,0.031,nada,3
1.982,5.061,8.073,-2.664,4.092,2.031,nada,3
2.064,5.109,8.097,-1.214,6.13,-0.679,nada,3
2.006,5.054,8.107,-2.519,4.496,0.817,nada,3
2.093,5.15,8.109,-1.275,7.008,0.053,nada,3
1.98,5.167,8.14,-2.672,4.099,0.725,nada,3
2.059,4.946,8.171,-3.107,8.557,0.534,nada,3
1.963,5.09,8.205,-0.206,3.55,-0.107,nada,3
2.136,5.107,8.04,-1.893,4.649,1.519,nada,3
2.002,4.956,8.171,-1.0,4.595,0.664,nada,3
2.071,4.954,8.04,-1.221,3.267,0.863,nada,3
1.98,5.109,8.203,-2.519,7.275,-0.504,nada,3
2.119,5.009,8.064,-1.275,4.489,0.756,nada,3
1.915,5.057,8.327,-1.847,5.198,-0.221,nada,3
2.03,5.138,8.236,-0.718,3.931,0.16,nada,3
2.09,5.006,8.231,-1.725,4.351,0.443,nada,3
1.966,5.183,8.059,-1.405,2.626,0.641,nada,3
2.045,4.999,8.04,-3.954,5.229,2.656,nada,3
2.116,4.927,8.234,0.473,4.977,-0.534,nada,3
1.997,5.045,8.009,-1.626,5.718,-0.092,nada,3
2.035,5.03,8.188,-2.13,6.695,0.542,nada,3
2.083,4.901,8.131,-1.298,5.344,-0.038,nada,3
2.047,4.999,8.171,-0.924,4.931,0.718,nada,3
1.997,4.958,8.229,-1.519,6.0,0.557,nada,3
2.095,5.047,8.219,-0.641,4.771,-0.855,nada,3
2.054,5.104,8.135,-1.802,5.557,0.473,nada,3
1.966,5.009,8.262,-1.878,4.725,0.87,nada,3
2.064,5.04,8.078,-0.977,4.26,0.214,nada,3
2.002,5.08,8.186,-1.145,4.603,0.412,nada,3
2.018,4.961,8.195,-3.924,5.656,2.275,nada,3
1.982,4.951,8.068,0.336,4.481,0.061,nada,3
2.037,5.028,8.061,-2.252,7.092,0.641,nada,3
1.968,4.93,8.203,-0.832,4.389,0.023,nada,3
1.927,5.025,8.265,-2.481,6.366,1.053,nada,3
2.054,4.903,8.174,-4.328,7.863,-0.076,nada,3
2.047,5.018,8.308,-2.298,4.672,0.626,nada,3
1.944,4.978,8.296,-3.794,6.779,1.84,nada,3
1.961,4.975,8.351,-2.26,5.626,1.031,nada,3
1.968,4.93,8.253,-0.351,2.969,-0.519,nada,3
1.896,4.966,8.188,-1.42,5.603,0.595,nada,3
1.954,4.911,8.238,-1.763,4.756,1.26,nada,3
2.004,4.958,8.14,0.794,4.924,-1.214,nada,3
2.04,4.872,8.246,-2.687,4.916,3.069,nada,3
2.028,4.889,8.215,-0.496,4.267,-0.412,nada,3
1.841,4.925,8.207,-2.267,4.702,0.473,nada,3
2.064,4.997,8.334,-1.427,6.42,0.42,nada,3
1.935,4.867,8.267,-1.595,4.015,1.137,nada,3
1.949,5.064,8.21,-1.908,5.802,0.718,nada,3
2.006,4.81,8.315,-2.344,6.115,1.321,nada,3
2.035,4.98,8.361,-1.527,3.733,0.725,nada,3
1.966,4.915,8.234,-3.26,4.763,1.626,nada,3
1.954,4.918,8.315,-1.397,3.573,0.542,nada,3
1.992,4.911,8.215,-1.16,4.328,0.55,nada,3
1.954,4.815,8.102,-2.244,4.053,0.679,nada,3
1.925,4.848,8.222,-2.321,4.412,1.321,nada,3
1.865,4.767,8.171,-2.168,5.687,1.58,nada,3
1.946,4.86,8.353,-2.267,6.076,-1.45,nada,3
2.042,4.939,8.167,-1.29,3.573,-0.74,nada,3
2.105,4.87,8.246,-1.939,5.809,0.427,nada,3
2.018,4.834,8.186,-1.84,4.802,0.412,nada,3
1.92,4.831,8.38,-2.366,5.672,0.748,nada,3
1.97,4.978,8.255,-0.702,2.771,0.55,nada,3
1.913,4.918,8.32,-0.947,5.45,0.718,nada,3
1.848,4.714,8.344,-2.893,4.298,2.16,nada,3
1.87,4.702,8.442,-1.71,4.771,-1.733,nada,3
2.042,5.069,8.284,-2.58,4.511,-2.107,nada,3
2.037,4.968,8.339,-1.832,3.641,0.298,nada,3
2.028,4.903,8.25,-2.412,4.405,0.466,nada,3
2.021,4.899,8.219,-0.863,5.374,-0.107,nada,3
1.99,4.8,8.193,-1.679,3.672,1.366,nada,3
1.958,4.93,8.229,-1.374,4.687,-0.031,nada,3
1.994,4.808,8.21,-0.847,3.824,1.603,nada,3
1.985,4.896,8.382,-2.183,6.817,0.519,nada,3
1.968,4.796,8.37,-1.053,4.061,2.435,nada,3
1.999,4.75,8.253,-1.069,6.412,-0.71,nada,3
1.829,5.076,8.284,-2.344,3.954,1.695,nada,3
2.011,4.7,8.346,-1.557,6.282,1.878,nada,3
1.978,4.731,8.329,-0.557,3.359,-0.878,nada,3
1.865,4.942,8.217,-1.046,5.534,-0.244,nada,3
1.923,4.891,8.329,-3.397,5.58,3.031,nada,3
1.937,4.69,8.258,-0.237,5.809,0.046,nada,3
1.982,4.851,8.325,-2.221,5.489,0.382,nada,3
2.002,4.884,8.435,-0.427,4.603,-0.115,nada,3
1.978,4.891,8.375,-1.481,4.092,0.901,nada,3
