ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
-1.223,3.579,9.11,35.672,-45.168,14.282,presente,5
-0.735,1.542,8.222,-26.45,-21.924,14.298,presente,5
-1.176,1.348,8.909,0.58,-5.382,1.038,presente,5
-0.725,2.49,10.209,-27.588,-0.527,-0.351,presente,5
-1.444,1.477,10.195,-2.901,-21.87,-2.786,presente,5
-0.721,2.401,9.27,-6.626,-17.779,-4.435,presente,5
-1.369,1.563,9.328,0.771,-12.214,-6.702,presente,5
-0.757,1.628,8.612,6.29,1.939,-16.931,presente,5
-0.242,2.157,8.76,18.069,13.573,-15.84,presente,5
-0.247,1.882,8.679,3.511,18.641,-17.931,presente,5
-1.29,2.267,9.936,8.336,31.053,-15.611,presente,5
-1.367,3.129,9.941,-4.176,30.74,-16.359,presente,5
-1.978,2.2,8.796,-1.939,12.336,-15.481,presente,5
-2.174,2.181,8.741,-2.313,22.16,-15.115,presente,5
-2.428,1.796,9.596,-19.282,9.168,-8.55,presente,5
-2.282,1.956,9.21,-11.794,0.969,0.115,presente,5
-1.913,1.607,9.098,-15.885,-3.412,-0.244,presente,5
-2.176,1.257,9.761,-2.756,-2.321,-1.748,presente,5
-1.513,1.755,8.859,2.336,-10.275,-0.198,presente,5
-1.269,1.228,9.701,-1.115,-3.634,0.275,presente,5
-1.374,1.183,9.052,-4.198,-6.504,2.122,presente,5
-1.532,1.358,8.54,-1.214,-6.519,7.038,presente,5
-1.326,1.25,8.708,4.145,-5.069,4.656,presente,5
-1.29,1.384,9.318,2.382,4.588,2.725,presente,5
-1.437,1.463,9.67,-2.351,4.046,-0.267,presente,5
-1.788,1.391,9.699,1.42,-0.122,-2.42,presente,5
-1.961,1.678,9.457,1.504,-1.366,-1.504,presente,5
-1.834,1.554,9.4,1.16,-2.267,-0.336,presente,5
-1.786,1.848,9.797,-0.832,-3.466,-1.992,presente,5
-1.86,1.949,10.183,-0.817,-13.023,0.389,presente,5
-1.542,2.248,10.592,-8.588,-26.611,3.191,presente,5
-1.322,1.647,11.164,-17.634,-35.084,5.924,presente,5
-1.144,2.31,11.538,-16.687,-51.817,9.382,presente,5
-0.508,2.334,11.578,-26.397,-68.626,23.908,presente,5
-0.12,1.856,11.516,-27.992,-87.038,30.435,presente,5
0.457,1.736,10.616,-65.878,-106.947,41.458,presente,5
1.233,0.68,10.032,-50.878,-116.252,42.908,presente,5
2.227,-0.761,8.662,-68.687,-149.29,37.55,presente,5
3.689,-1.475,6.972,-56.481,-156.305,39.656,presente,5
4.3,-2.263,6.002,-85.931,-157.008,21.595,presente,5
5.77,-2.842,4.417,-49.947,-159.893,21.931,presente,5
7.08,-3.285,2.485,-45.267,-108.817,21.802,presente,5
7.321,-4.068,2.334,-26.763,-86.634,27.634,presente,5
7.271,-4.219,1.626,-27.298,-47.45,6.42,presente,5
6.675,-3.452,1.992,-14.221,-38.969,4.221,presente,5
5.954,-3.12,1.669,-14.809,-23.824,2.122,presente,5
5.866,-3.108,0.855,-4.672,-30.298,7.733,presente,5
6.424,-3.644,0.407,1.313,-9.756,7.45,presente,5
7.02,-4.12,0.63,4.267,-6.13,3.832,presente,5
7.659,-4.144,0.941,11.71,8.58,-0.45,presente,5
7.913,-4.192,1.542,2.656,6.176,-1.069,presente,5
7.934,-4.132,1.875,5.206,6.046,-3.221,presente,5
7.796,-3.955,2.191,-0.84,3.908,-3.603,presente,5
7.98,-3.728,2.006,4.58,1.16,-2.84,presente,5
7.843,-3.591,1.97,7.603,0.069,-1.046,presente,5
7.798,-3.721,2.004,1.031,-0.992,0.672,presente,5
7.707,-3.905,1.92,5.29,0.885,1.046,presente,5
7.867,-3.879,1.875,2.069,0.244,-0.336,presente,5
7.652,-3.618,2.002,3.176,-0.649,-1.244,presente,5
7.827,-3.814,1.741,-0.176,0.069,0.282,presente,5
7.858,-3.661,1.812,3.336,5.649,0.282,presente,5
7.839,-3.711,1.92,-0.626,-0.206,0.947,presente,5
7.738,-3.895,1.932,3.481,2.397,-0.252,presente,5
7.774,-3.986,2.002,-2.947,0.397,2.519,presente,5
7.853,-3.694,1.966,2.046,2.031,0.42,presente,5
7.681,-3.788,1.791,1.107,1.015,1.137,presente,5
7.673,-3.96,1.827,-3.0,3.832,3.672,presente,5
7.697,-3.833,2.021,-4.061,5.542,3.305,presente,5
7.697,-3.859,2.2,0.649,2.183,-0.931,presente,5
7.592,-4.056,2.478,-1.145,-1.168,-2.099,presente,5
7.762,-3.84,2.04,0.855,0.29,-0.748,presente,5
7.824,-3.778,1.884,1.763,-0.076,-0.557,presente,5
7.834,-3.874,1.958,0.71,2.145,-0.878,presente,5
7.784,-3.891,2.191,0.099,-0.817,0.656,presente,5
7.69,-3.74,2.047,2.718,1.061,-0.565,presente,5
7.946,-3.991,1.755,0.702,-0.305,-1.145,presente,5
7.831,-3.625,2.03,0.229,3.687,-0.389,presente,5
7.736,-3.694,2.246,-3.237,3.282,4.473,presente,5
7.657,-3.725,2.172,4.267,0.641,2.214,presente,5
7.599,-4.111,2.31,-1.0,-0.153,1.481,presente,5
