ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
-0.132,-1.451,9.749,-2.878,4.45,1.061,presente,2
-0.144,-1.377,9.809,-1.756,4.618,0.481,presente,2
-0.096,-1.403,9.816,-1.733,4.374,0.672,presente,2
-0.053,-1.456,9.78,-1.107,4.779,0.824,presente,2
-0.105,-1.525,9.735,-0.191,3.809,0.084,presente,2
-0.168,-1.468,9.685,-1.969,4.664,0.076,presente,2
-0.184,-1.377,9.56,-1.672,5.534,0.511,presente,2
-0.158,-1.42,9.598,-0.901,6.046,1.504,presente,2
-0.053,-1.664,9.67,-1.481,6.252,1.405,presente,2
-0.136,-1.607,9.862,-1.099,6.443,0.076,presente,2
-0.16,-1.381,9.716,-0.137,6.298,-0.496,presente,2
-0.225,-1.487,9.735,-0.908,5.031,0.985,presente,2
-0.28,-1.391,9.574,-2.397,6.687,1.244,presente,2
-0.23,-1.396,9.673,-14.901,7.168,8.634,presente,2
-0.378,-1.688,9.771,9.015,8.885,-1.351,presente,2
-0.634,-1.207,10.235,20.115,9.664,-0.435,presente,2
-0.843,-1.216,12.673,77.412,-4.305,-1.336,presente,2
-3.215,-1.446,15.251,116.863,-89.626,0.145,presente,2
-1.451,-0.972,13.688,172.649,-158.618,0.878,presente,2
0.378,1.448,11.65,171.634,-202.038,-2.321,presente,2
1.171,4.559,9.555,154.214,-209.107,13.87,presente,2
2.164,4.717,7.209,104.649,-207.855,63.626,presente,2
4.187,3.17,3.304,117.061,-225.473,69.275,presente,2
6.091,1.949,-1.65,91.046,-192.42,56.229,presente,2
8.073,2.059,-4.834,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
3.767,-8.003,1.887,48.038,-102.069,24.069,presente,2
