ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
1.583,5.734,7.642,1.947,3.519,-1.466,presente,3
1.571,5.878,7.652,-1.389,4.305,0.145,presente,3
1.633,5.923,7.642,-0.901,3.916,0.16,presente,3
1.621,5.77,7.599,0.679,6.603,-0.389,presente,3
1.623,5.851,7.855,-2.076,5.977,0.244,presente,3
1.566,5.792,7.803,-0.664,5.076,0.779,presente,3
1.506,5.55,7.798,8.107,2.748,-0.969,presente,3
1.609,6.1,7.822,8.71,-3.466,1.42,presente,3
1.647,6.031,7.487,7.221,-1.511,2.244,presente,3
1.731,6.005,7.429,-0.908,5.809,0.595,presente,3
1.635,5.978,7.432,2.435,3.527,0.084,presente,3
1.571,5.856,7.405,0.786,4.863,-0.924,presente,3
1.683,6.153,7.439,-1.809,4.229,0.046,presente,3
1.659,5.995,7.542,3.779,2.771,-0.939,presente,3
1.678,6.014,7.396,-3.511,5.634,-1.489,presente,3
1.635,6.28,7.453,2.649,4.527,-1.794,presente,3
1.547,5.954,7.427,2.107,4.267,-0.74,presente,3
1.566,6.031,7.23,-1.16,6.863,-0.779,presente,3
1.693,6.45,7.549,1.733,8.87,0.405,presente,3
1.678,6.507,7.966,1.137,3.534,5.061,presente,3
1.987,6.893,7.966,-0.053,-1.206,11.16,presente,3
1.98,6.177,8.904,2.473,-7.092,11.244,presente,3
2.382,6.972,9.22,-7.87,-21.061,13.496,presente,3
2.703,7.163,9.213,-8.969,-36.038,26.275,presente,3
3.177,6.754,9.041,-18.74,-54.542,38.321,presente,3
3.706,6.886,8.633,-24.802,-60.328,44.328,presente,3
3.498,6.749,8.926,-32.649,-71.641,55.756,presente,3
4.061,6.409,7.906,-45.229,-91.008,68.771,presente,3
4.731,5.485,6.934,-39.023,-90.023,75.145,presente,3
4.882,4.992,6.519,-50.405,-97.763,85.435,presente,3
5.746,3.29,5.061,-48.878,-101.588,91.71,presente,3
5.995,2.684,4.341,-48.763,-100.71,92.26,presente,3
6.335,1.391,2.878,-48.206,-108.748,102.649,presente,3
6.486,-0.072,1.384,-40.893,-99.908,99.13,presente,3
7.441,-1.262,0.187,-40.802,-108.931,113.069,presente,3
6.732,-2.667,0.077,-44.542,-71.588,90.924,presente,3
8.847,-3.895,-0.773,-32.794,-57.565,61.756,presente,3
9.136,-4.401,-0.646,-18.496,-38.42,36.328,presente,3
10.283,-4.424,-1.109,-9.611,-19.221,16.595,presente,3
9.799,-4.12,-0.934,-10.397,-5.275,10.053,presente,3
9.249,-4.137,-0.481,-8.321,-0.176,11.366,presente,3
8.875,-3.627,-0.852,-8.496,0.305,8.985,presente,3
8.801,-3.857,-0.622,-4.748,5.076,5.366,presente,3
8.93,-3.596,-0.615,0.802,4.771,2.595,presente,3
9.172,-3.584,-0.474,0.252,17.542,-2.313,presente,3
9.017,-3.598,-0.053,0.427,7.473,3.924,presente,3
9.194,-3.694,-0.182,3.634,3.191,3.351,presente,3
9.108,-3.977,-0.227,-4.305,6.053,0.656,presente,3
9.005,-3.704,-0.318,2.313,4.366,0.916,presente,3
9.261,-3.962,-0.23,-3.145,4.687,2.099,presente,3
8.911,-3.656,-0.479,-0.519,3.74,-0.725,presente,3
9.153,-3.622,-0.524,0.26,6.687,-0.702,presente,3
8.988,-3.745,-0.249,3.634,4.962,-0.656,presente,3
9.177,-3.512,-0.371,-4.397,9.435,-2.985,presente,3
9.074,-3.608,-0.168,1.931,6.069,-0.763,presente,3
9.23,-3.613,-0.136,-1.557,7.763,0.061,presente,3
9.187,-3.78,-0.098,-2.328,2.977,0.74,presente,3
9.158,-3.651,-0.527,-0.328,4.992,-1.58,presente,3
9.074,-3.788,-0.266,0.504,8.809,1.252,presente,3
9.084,-3.792,0.014,0.008,6.641,-2.557,presente,3
9.242,-3.361,-0.244,0.885,5.107,-2.588,presente,3
9.22,-3.622,-0.412,4.733,6.26,-2.992,presente,3
9.275,-3.531,0.12,-2.557,8.191,3.061,presente,3
9.213,-3.711,-0.002,1.275,2.802,-1.015,presente,3
9.234,-3.567,-0.199,-1.786,3.115,0.527,presente,3
9.158,-3.603,-0.153,-0.176,4.718,0.74,presente,3
9.108,-3.716,-0.081,-0.237,3.977,0.351,presente,3
9.12,-3.431,-0.283,5.153,3.076,-2.176,presente,3
9.093,-3.709,-0.074,1.0,7.099,-0.244,presente,3
9.33,-3.701,0.072,4.298,5.55,-1.893,presente,3
9.275,-3.527,0.156,0.183,5.076,-0.336,presente,3
9.208,-3.484,0.16,0.55,3.153,1.885,presente,3
9.112,-3.709,-0.168,-5.405,3.725,1.947,presente,3
9.347,-3.498,-0.189,-0.206,6.687,-2.412,presente,3
9.222,-3.29,0.029,-0.107,8.878,0.809,presente,3
9.131,-3.536,0.271,1.489,4.466,-0.137,presente,3
8.787,-3.711,0.227,-1.901,1.702,0.023,presente,3
9.143,-3.941,-0.074,-2.626,1.504,-4.855,presente,3
9.481,-3.12,-0.213,2.374,3.725,-4.71,presente,3
9.328,-3.146,-0.055,0.336,8.176,1.947,presente,3
9.227,-3.788,-0.096,1.282,3.45,-1.29,presente,3
9.076,-3.407,-0.22,4.802,5.092,-3.046,presente,3
9.328,-3.144,-0.591,9.824,5.771,-2.74,presente,3
9.127,-3.503,0.299,5.29,8.931,0.336,presente,3
9.424,-3.318,0.278,7.443,3.74,-0.473,presente,3
9.452,-3.304,0.237,13.779,-1.939,0.794,presente,3
9.299,-3.488,-0.129,1.542,6.061,1.748,presente,3
9.239,-3.575,0.129,2.382,7.916,1.634,presente,3
9.206,-3.395,0.39,-2.069,8.221,0.046,presente,3
9.345,-3.273,0.045,4.076,4.374,-0.916,presente,3
9.227,-3.259,0.409,-1.336,7.771,3.55,presente,3
9.182,-3.859,0.362,-1.115,6.687,-1.351,presente,3
9.261,-3.436,0.455,-5.611,6.031,-1.336,presente,3
9.383,-3.235,0.12,-0.847,1.198,-1.191,presente,3
9.158,-3.29,-0.029,-1.328,5.962,1.733,presente,3
9.27,-3.553,0.175,-0.718,4.702,-0.824,presente,3
9.282,-3.381,0.292,-0.427,4.542,-0.863,presente,3
9.304,-3.314,0.144,-2.076,5.611,0.214,presente,3
9.321,-3.426,0.359,-2.252,4.771,1.733,presente,3
9.239,-3.67,0.34,-8.13,3.679,0.534,presente,3
9.352,-3.237,0.089,-5.718,6.038,-0.344,presente,3
9.275,-3.361,0.065,-3.099,5.481,0.198,presente,3
9.237,-3.361,0.122,-2.405,4.885,-0.366,presente,3
9.146,-3.22,-0.024,1.542,4.504,-1.71,presente,3
9.21,-3.378,0.031,1.626,5.817,-1.168,presente,3
9.237,-3.412,0.345,0.481,6.389,0.771,presente,3
9.304,-3.531,0.302,1.824,3.466,-1.794,presente,3
9.416,-3.163,0.17,-2.29,7.206,-0.351,presente,3
9.311,-3.531,0.237,0.908,5.504,1.137,presente,3
9.299,-3.254,0.309,-2.351,6.305,2.153,presente,3
9.249,-3.311,0.213,0.29,5.26,-1.282,presente,3
9.201,-3.409,0.201,0.061,5.511,0.962,presente,3
9.323,-3.333,0.424,4.496,4.053,-3.0,presente,3
9.464,-3.156,0.352,-10.0,6.939,1.443,presente,3
9.349,-3.4,0.081,2.664,1.855,0.252,presente,3
9.299,-3.45,0.254,-2.107,7.229,1.45,presente,3
9.285,-3.268,0.364,0.603,4.45,-0.458,presente,3
9.213,-3.33,0.232,-2.344,5.611,1.588,presente,3
9.215,-3.261,0.239,1.115,4.618,-1.863,presente,3
9.239,-3.46,0.393,-1.115,5.565,-0.542,presente,3
9.335,-3.139,0.321,0.641,5.046,-1.969,presente,3
9.357,-3.34,0.326,-0.634,5.092,0.511,presente,3
9.345,-3.232,0.388,-3.099,6.145,1.282,presente,3
9.407,-3.294,0.347,3.702,2.229,-1.145,presente,3
9.237,-3.316,0.242,-2.725,5.656,1.84,presente,3
9.426,-3.098,0.192,-0.687,5.878,-0.168,presente,3
9.275,-3.39,0.419,2.527,3.901,0.122,presente,3
9.294,-3.369,0.383,-1.672,5.099,0.748,presente,3
9.404,-3.172,0.383,0.008,4.183,-0.611,presente,3
9.28,-3.184,0.237,1.748,4.702,2.763,presente,3
9.313,-3.34,0.33,2.244,7.481,1.794,presente,3
9.392,-3.273,0.453,-1.481,8.992,4.0,presente,3
9.201,-3.409,0.733,1.763,3.786,0.901,presente,3
9.182,-3.584,0.558,-5.13,2.626,-0.267,presente,3
9.237,-3.294,0.204,3.519,0.473,-4.099,presente,3
9.349,-3.026,0.302,-4.511,8.313,1.099,presente,3
9.4,-3.203,0.541,-0.611,4.29,1.603,presente,3
9.242,-3.529,0.357,0.42,3.397,-0.595,presente,3
9.292,-3.349,0.227,4.603,2.84,-2.679,presente,3
9.282,-2.986,0.098,6.779,4.817,-2.031,presente,3
9.191,-3.402,0.342,5.359,8.565,-2.038,presente,3
9.407,-3.026,0.709,4.771,5.84,-0.42,presente,3
9.4,-3.436,0.541,-0.672,3.908,1.489,presente,3
9.5,-3.06,0.335,0.168,5.481,1.382,presente,3
9.464,-3.268,0.512,-0.763,5.298,5.42,presente,3
9.148,-3.436,0.658,0.053,5.641,3.611,presente,3
9.108,-3.17,0.302,-1.84,5.206,0.183,presente,3
9.088,-3.287,0.273,1.771,6.168,-1.359,presente,3
9.309,-3.187,0.747,-0.885,7.947,-1.023,presente,3
9.541,-3.457,0.754,0.336,2.26,-2.832,presente,3
9.345,-3.086,0.46,2.947,1.718,2.107,presente,3
9.201,-3.62,0.232,-2.008,6.763,3.229,presente,3
9.309,-3.093,0.496,3.565,5.076,-2.168,presente,3
9.352,-3.364,0.395,2.015,5.618,0.084,presente,3
9.182,-3.247,0.591,3.641,5.183,0.74,presente,3
9.189,-3.021,0.622,-1.099,7.26,-0.359,presente,3
9.139,-3.373,0.663,1.809,3.099,-2.183,presente,3
9.316,-3.115,0.804,0.611,3.924,-1.802,presente,3
9.45,-3.021,0.836,-1.687,6.328,-2.191,presente,3
9.412,-3.261,0.845,-0.374,1.023,1.481,presente,3
9.419,-3.081,0.464,-1.267,4.107,0.191,presente,3
9.301,-3.055,0.412,-1.282,5.359,2.237,presente,3
9.141,-3.218,0.424,-0.176,5.053,2.802,presente,3
9.234,-3.417,0.283,-0.145,5.275,-1.443,presente,3
9.448,-3.263,0.34,1.481,4.916,-1.855,presente,3
9.414,-3.105,0.718,1.061,4.817,-0.649,presente,3
9.565,-3.069,0.749,-0.611,5.901,3.511,presente,3
9.371,-3.721,0.919,-2.74,-0.038,7.511,presente,3
9.036,-2.969,0.678,-1.489,1.977,-5.802,presente,3
8.985,-2.837,0.496,9.534,-3.985,8.29,presente,3
9.055,-3.417,0.194,-2.29,4.344,3.763,presente,3
9.716,-3.081,0.69,0.458,-4.107,2.435,presente,3
9.438,-3.711,0.022,1.718,4.885,-0.336,presente,3
9.567,-3.421,0.194,1.076,8.786,4.786,presente,3
9.345,-3.364,0.56,2.031,8.832,-0.168,presente,3
9.404,-3.452,0.436,3.893,4.901,4.069,presente,3
9.002,-3.311,0.845,2.275,7.061,4.397,presente,3
8.995,-3.251,0.764,0.603,5.267,0.473,presente,3
8.942,-3.45,0.548,-1.565,6.924,0.313,presente,3
9.122,-3.436,0.661,0.603,7.092,-2.412,presente,3
9.366,-3.354,0.778,5.504,5.649,-4.565,presente,3
9.699,-3.294,0.903,-0.084,6.802,0.344,presente,3
9.311,-2.998,0.723,2.252,5.954,-0.954,presente,3
9.239,-3.515,0.63,-5.634,4.924,2.893,presente,3
9.213,-3.244,0.615,-5.153,2.351,2.107,presente,3
9.079,-3.402,0.622,-3.321,4.504,-0.832,presente,3
