ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
1.64,2.219,9.409,-2.863,3.511,0.58,presente,4
1.709,1.932,9.184,3.061,3.221,-0.427,presente,4
1.738,1.975,9.115,-1.351,6.412,-2.542,presente,4
1.712,1.97,9.167,-1.626,5.336,-2.672,presente,4
1.686,2.303,9.527,2.229,-2.397,-1.84,presente,4
1.848,2.354,8.899,3.214,0.725,-3.099,presente,4
2.157,2.521,9.416,2.137,0.183,0.176,presente,4
1.856,2.43,9.349,14.412,8.206,6.939,presente,4
2.267,2.787,9.27,3.336,10.84,4.115,presente,4
2.363,2.806,9.476,-0.076,14.542,2.405,presente,4
1.817,2.83,9.613,-7.046,10.901,-1.191,presente,4
1.669,2.579,9.33,2.305,5.237,1.069,presente,4
2.073,2.533,9.029,-10.0,7.573,-2.206,presente,4
1.539,2.246,9.495,-7.481,8.282,-6.427,presente,4
1.532,2.799,9.476,-7.153,5.122,-1.168,presente,4
1.851,2.55,9.316,3.145,1.954,-0.84,presente,4
1.973,2.365,9.127,-8.931,3.557,-0.412,presente,4
1.568,2.679,9.462,5.008,4.328,1.023,presente,4
1.757,2.519,9.246,-3.763,6.053,2.931,presente,4
1.757,2.416,9.333,-3.893,6.924,1.435,presente,4
1.647,2.392,9.39,3.817,4.71,0.916,presente,4
1.69,2.435,9.316,-1.267,5.076,0.542,presente,4
1.611,2.447,9.244,-2.046,6.74,-0.069,presente,4
1.657,2.356,9.457,-4.595,5.282,1.069,presente,4
1.65,2.495,9.261,-0.481,7.069,-0.595,presente,4
1.638,2.569,9.275,-2.969,6.206,1.099,presente,4
1.618,2.547,9.45,0.107,5.695,-0.023,presente,4
1.633,2.614,9.452,1.832,3.924,0.672,presente,4
1.719,2.497,9.474,-3.954,6.183,1.481,presente,4
1.719,2.375,9.495,0.023,5.16,-0.626,presente,4
1.659,2.622,9.483,-0.557,5.084,1.145,presente,4
1.595,2.552,9.383,-1.71,3.794,0.565,presente,4
1.705,2.461,9.23,-0.863,6.328,0.954,presente,4
1.803,2.466,9.385,-4.053,8.061,1.351,presente,4
1.721,2.875,10.566,-3.427,5.893,2.458,presente,4
1.925,4.049,14.265,2.328,-38.412,23.725,presente,4
1.571,4.365,15.56,23.618,-129.916,62.412,presente,4
3.263,5.215,12.977,-19.038,-170.626,64.656,presente,4
3.991,2.279,9.797,4.947,-222.221,76.252,presente,4
4.707,1.367,6.852,-5.611,-245.863,67.878,presente,4
4.116,1.214,3.582,5.069,-227.824,73.718,presente,4
4.12,0.524,1.326,32.282,-222.321,75.954,presente,4
5.825,-0.855,-0.757,1.962,-141.115,71.153,presente,4
9.419,-2.559,-2.66,16.603,-83.649,83.115,presente,4
10.051,-3.134,-2.071,19.687,-29.611,20.107,presente,4
9.898,-1.942,-2.308,-0.565,-0.076,1.931,presente,4
9.436,-1.705,-1.736,-4.198,-1.244,2.092,presente,4
9.325,-1.195,-1.209,0.916,24.565,3.847,presente,4
9.594,-1.484,-0.362,-5.557,18.511,12.458,presente,4
9.275,-1.286,0.141,-3.985,12.023,7.374,presente,4
9.313,-1.544,0.014,-1.229,7.595,4.168,presente,4
9.732,-1.76,-0.407,2.58,11.382,-1.817,presente,4
9.493,-1.887,-0.359,4.733,5.244,-1.145,presente,4
9.711,-1.64,-0.261,-1.267,8.55,0.053,presente,4
9.632,-1.707,-0.275,3.779,5.947,-3.405,presente,4
10.008,-1.75,-0.285,-3.992,8.992,0.55,presente,4
9.807,-1.482,-0.098,-0.389,7.298,0.183,presente,4
9.651,-1.528,-0.057,-1.527,6.687,2.519,presente,4
9.675,-1.772,0.017,-1.328,6.519,1.069,presente,4
9.649,-1.654,-0.136,0.832,4.695,-1.115,presente,4
9.708,-1.817,-0.366,1.779,7.519,-3.969,presente,4
9.756,-1.595,-0.048,-3.748,7.603,-1.45,presente,4
10.01,-1.381,0.034,-2.344,5.046,-1.733,presente,4
9.816,-1.484,-0.091,-1.191,2.328,-2.504,presente,4
