ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
-0.527,0.625,9.618,2.947,2.252,8.206,spider,5
-0.843,0.187,9.742,3.084,2.374,6.0,spider,5
-0.785,0.52,9.584,11.458,1.573,2.298,spider,5
-0.534,0.838,9.249,8.252,6.42,-2.618,spider,5
-0.84,1.164,9.321,22.58,5.603,-8.672,spider,5
-0.994,1.396,9.239,34.489,1.618,-5.863,spider,5
-0.491,1.597,8.995,30.412,3.802,1.962,spider,5
-0.883,1.75,9.318,1.55,10.687,-0.397,spider,5
-0.673,1.264,9.589,8.344,8.649,-5.298,spider,5
-0.9,1.743,9.665,-3.359,16.267,-7.031,spider,5
-1.3,1.666,9.414,4.878,14.366,-11.13,spider,5
-1.659,1.657,9.275,-11.634,22.252,-12.504,spider,5
-2.224,1.051,9.9,-18.832,25.031,-18.366,spider,5
-2.073,1.477,9.632,-9.679,8.275,-9.45,spider,5
-2.006,0.917,9.455,-11.229,10.328,-5.695,spider,5
-2.078,1.037,9.591,-2.695,7.756,-3.504,spider,5
-1.877,1.099,9.538,-7.779,3.344,-4.664,spider,5
-2.047,0.97,9.491,4.435,3.885,0.962,spider,5
-2.145,1.049,9.285,-4.863,3.603,-0.611,spider,5
-2.198,1.188,9.369,0.779,2.885,0.168,spider,5
-2.231,1.123,9.498,-1.252,2.076,1.87,spider,5
-2.188,1.209,9.452,0.107,1.16,0.733,spider,5
-2.181,1.109,9.44,1.573,-0.321,1.069,spider,5
-2.301,1.111,9.57,0.794,0.794,1.321,spider,5
-2.179,0.905,9.486,-0.084,1.901,1.153,spider,5
-2.212,1.132,9.531,-3.191,2.13,0.687,spider,5
-2.169,1.053,9.359,3.122,0.992,0.298,spider,5
-2.296,1.087,9.543,-0.985,2.137,-0.015,spider,5
-2.215,1.13,9.457,0.397,4.641,-0.26,spider,5
-2.303,1.235,9.543,-0.099,1.74,0.527,spider,5
-2.358,1.176,9.505,-1.504,1.168,-0.16,spider,5
-2.385,1.118,9.577,-3.481,0.046,-0.061,spider,5
-2.284,1.161,9.443,-7.473,-0.313,0.076,spider,5
-2.308,1.161,9.687,-24.282,2.679,-3.634,spider,5
-2.179,1.164,9.483,-51.008,7.901,-15.55,spider,5
-2.521,-0.565,9.641,0.397,27.809,-12.573,spider,5
-3.29,0.407,10.348,171.702,-49.313,55.924,spider,5
-1.889,3.199,10.183,250.13,-96.344,85.985,spider,5
0.498,5.598,3.745,250.13,-105.023,61.71,spider,5
0.584,9.309,1.832,250.13,-55.702,58.878,spider,5
0.503,7.01,-2.258,250.13,-84.74,50.824,spider,5
1.3,8.928,-5.468,250.13,-78.061,65.771,spider,5
