ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
1.056,5.057,8.023,5.702,7.481,-1.519,spider,1
0.819,4.922,8.511,-2.679,4.382,0.046,spider,1
0.998,5.239,8.277,-2.244,4.305,1.015,spider,1
0.953,5.092,8.341,-2.344,2.84,0.878,spider,1
0.828,4.942,8.32,-0.023,3.969,0.519,spider,1
0.943,4.975,8.341,-4.42,6.244,0.145,spider,1
0.986,5.076,8.212,-0.176,3.473,-0.29,spider,1
1.082,5.119,8.229,-3.015,3.824,0.817,spider,1
0.953,5.04,8.344,-0.878,4.046,-0.473,spider,1
1.065,4.966,8.296,-1.901,3.878,1.099,spider,1
1.022,5.128,8.181,-2.557,2.679,-0.137,spider,1
1.02,4.891,8.341,0.275,6.0,-0.061,spider,1
0.982,5.164,8.375,-1.931,5.504,0.931,spider,1
1.022,5.066,8.169,0.031,4.412,0.023,spider,1
0.958,4.99,8.277,-0.824,3.153,1.145,spider,1
0.974,4.899,8.215,0.015,5.076,-0.679,spider,1
1.147,5.255,8.353,-5.519,-7.252,6.26,spider,1
1.07,4.903,8.363,7.183,-13.573,9.893,spider,1
1.575,5.361,8.291,-1.55,-21.756,17.763,spider,1
1.894,4.58,8.049,3.481,-32.061,14.832,spider,1
1.863,4.745,7.997,42.214,-51.84,14.954,spider,1
2.658,5.564,7.645,37.397,-74.771,14.947,spider,1
2.526,5.037,7.901,57.878,-100.679,17.443,spider,1
3.792,5.021,5.918,106.145,-217.382,34.473,spider,1
5.25,5.959,2.813,163.176,-235.649,35.939,spider,1
6.929,5.756,-0.572,177.885,-231.038,45.29,spider,1
1.939,7.343,-2.014,128.611,-208.038,12.977,spider,1
5.974,5.574,-4.101,204.832,-225.511,59.595,spider,1
7.604,5.942,-6.041,183.115,-199.137,74.008,spider,1
5.684,4.64,-7.8,58.832,-132.634,44.824,spider,1
5.358,3.534,-7.666,30.901,-92.634,43.206,spider,1
5.136,2.622,-8.485,62.221,-86.008,28.237,spider,1
6.843,3.168,-6.481,19.611,-59.626,35.87,spider,1
3.807,1.568,-9.914,70.313,-45.672,20.389,spider,1
3.105,0.962,-9.787,46.649,-25.16,7.931,spider,1
3.338,1.12,-9.359,61.443,-13.977,22.328,spider,1
3.108,1.741,-9.787,9.183,-21.298,32.458,spider,1
2.653,0.68,-9.701,29.756,7.26,7.87,spider,1
2.799,0.036,-9.807,5.71,-2.901,15.779,spider,1
2.82,-0.247,-9.871,2.962,5.336,5.908,spider,1
3.563,-0.517,-9.337,-4.794,6.855,-6.87,spider,1
3.16,0.031,-9.795,-14.061,14.74,-12.565,spider,1
2.988,0.029,-9.263,-2.053,3.954,-0.443,spider,1
2.792,0.115,-9.306,0.137,14.061,-8.664,spider,1
3.136,0.031,-9.586,-7.038,8.496,-4.786,spider,1
3.587,0.304,-9.728,3.046,10.015,-4.603,spider,1
3.294,-0.005,-9.333,-7.359,9.695,-5.817,spider,1
3.069,0.378,-9.273,-2.374,9.573,-3.023,spider,1
3.354,0.23,-9.261,-1.786,9.0,-2.802,spider,1
3.242,0.297,-9.316,-2.015,7.603,0.344,spider,1
3.366,-0.007,-9.519,-2.313,6.824,-0.832,spider,1
3.498,0.326,-9.653,-0.542,8.794,-3.863,spider,1
3.646,0.261,-9.349,-3.718,12.153,-5.893,spider,1
3.836,0.728,-9.215,-2.817,10.817,-5.176,spider,1
3.699,0.407,-9.158,-3.366,13.473,-7.786,spider,1
3.687,0.63,-9.203,-4.244,7.122,0.901,spider,1
3.366,0.309,-9.294,-0.763,8.527,-0.145,spider,1
3.249,0.441,-9.182,-3.328,6.389,-0.053,spider,1
3.445,0.225,-9.407,-6.183,5.366,-1.412,spider,1
3.587,0.611,-9.076,4.573,7.405,1.183,spider,1
3.622,0.462,-9.136,-4.733,3.527,0.702,spider,1
3.713,0.565,-9.424,1.183,6.924,-0.878,spider,1
4.099,0.67,-9.285,-7.061,6.931,0.275,spider,1
3.709,0.584,-9.105,1.74,4.878,6.466,spider,1
3.486,0.405,-9.225,-4.206,9.893,0.458,spider,1
3.577,0.318,-9.218,-0.023,3.557,3.809,spider,1
3.625,0.409,-9.313,-2.534,9.13,-1.313,spider,1
3.685,0.28,-9.299,-1.954,4.87,0.412,spider,1
3.792,0.273,-9.376,-0.55,4.916,1.008,spider,1
3.663,0.496,-9.206,2.603,7.893,-0.244,spider,1
4.056,0.764,-9.009,-1.901,4.55,0.267,spider,1
3.747,0.448,-9.088,0.962,3.924,-0.038,spider,1
4.264,0.383,-9.182,-3.748,4.969,-3.16,spider,1
3.371,0.417,-9.603,-0.275,0.519,7.473,spider,1
3.249,0.072,-8.928,0.092,8.42,-5.13,spider,1
3.912,0.362,-9.179,-1.802,1.053,-3.351,spider,1
3.934,0.615,-9.33,-3.962,4.809,-5.534,spider,1
4.384,0.666,-9.608,1.015,3.924,1.84,spider,1
3.845,0.73,-9.419,1.198,9.733,1.061,spider,1
3.898,0.577,-9.021,2.084,5.542,5.878,spider,1
3.658,0.342,-9.055,-0.679,7.626,2.504,spider,1
3.57,0.225,-9.191,0.611,4.84,1.924,spider,1
3.78,0.493,-9.069,0.992,7.29,-2.115,spider,1
4.068,0.745,-9.184,-4.473,7.573,-1.763,spider,1
4.01,0.407,-8.993,-4.084,2.74,3.649,spider,1
3.615,0.244,-9.388,-1.786,4.374,2.664,spider,1
3.812,0.448,-9.225,0.168,5.969,0.954,spider,1
3.766,0.328,-9.036,-1.618,6.435,-2.626,spider,1
4.08,0.845,-9.208,-3.115,6.221,0.046,spider,1
3.898,0.522,-9.258,0.13,5.527,1.786,spider,1
3.661,0.376,-9.064,0.16,5.153,2.122,spider,1
3.833,0.23,-9.318,-0.55,5.412,-0.305,spider,1
3.953,0.491,-9.28,-3.466,5.0,-0.672,spider,1
4.106,0.565,-9.151,0.931,6.389,0.122,spider,1
3.749,0.326,-9.151,-1.824,5.473,0.55,spider,1
3.881,0.587,-8.985,0.473,6.359,1.763,spider,1
3.891,0.388,-9.096,-3.008,3.733,0.008,spider,1
3.852,0.457,-9.115,0.977,1.298,5.076,spider,1
3.771,0.081,-9.258,-2.954,6.244,-2.496,spider,1
4.058,0.469,-9.179,-2.427,4.55,-0.321,spider,1
3.836,0.275,-9.452,-2.435,6.527,-1.55,spider,1
3.857,0.546,-9.055,1.336,5.878,-0.863,spider,1
3.903,0.453,-8.897,-4.153,7.13,-3.267,spider,1
4.149,0.69,-8.976,-1.969,2.397,1.176,spider,1
4.259,0.424,-9.56,-1.977,4.13,2.763,spider,1
3.314,0.254,-9.041,3.809,5.481,7.809,spider,1
3.826,0.278,-8.547,-2.466,4.939,-4.863,spider,1
4.772,0.527,-9.45,-12.603,1.191,-1.351,spider,1
4.334,0.251,-9.991,3.763,4.412,6.084,spider,1
0.295,0.346,0.477,3.069,14.321,1.718,spider,1
0.241,1.123,0.135,49.252,6.656,-112.733,spider,1
3.235,0.259,-8.839,1.947,9.557,1.282,spider,1
3.677,0.086,-8.859,-1.336,-0.084,-0.779,spider,1
3.558,0.146,-9.084,2.076,3.405,-1.763,spider,1
4.147,0.39,-8.856,-5.023,0.137,-6.466,spider,1
4.872,0.498,-9.483,-5.725,-0.618,1.061,spider,1
4.137,0.385,-9.426,-1.008,6.992,1.58,spider,1
3.984,0.417,-9.282,2.145,5.786,3.405,spider,1
3.958,0.515,-9.143,-0.435,7.733,0.832,spider,1
3.826,0.117,-9.34,2.863,3.954,1.756,spider,1
3.733,0.546,-8.93,-1.443,11.29,-3.45,spider,1
4.056,0.034,-8.966,0.275,1.618,3.351,spider,1
3.448,-0.057,-9.244,-2.214,5.634,-3.061,spider,1
4.058,0.385,-9.21,-1.351,6.038,-1.939,spider,1
4.235,0.57,-9.064,-1.168,7.496,-3.947,spider,1
4.022,0.589,-9.06,-2.321,6.412,-0.565,spider,1
4.068,0.407,-9.299,-0.794,14.374,-2.656,spider,1
3.867,0.515,-8.961,-6.84,25.824,-9.618,spider,1
4.331,0.412,-8.94,-1.672,12.069,-5.916,spider,1
4.736,0.539,-9.05,-1.603,16.42,-5.298,spider,1
4.281,0.148,-9.033,-1.481,7.397,-2.679,spider,1
4.487,0.33,-8.638,2.443,18.733,-12.74,spider,1
4.274,0.563,-8.782,-3.313,7.527,-4.405,spider,1
4.681,0.814,-8.461,3.053,14.916,-5.779,spider,1
4.915,0.721,-8.717,0.87,-0.786,3.557,spider,1
4.614,0.68,-8.904,4.473,3.214,2.076,spider,1
4.896,0.613,-9.158,8.0,2.939,5.679,spider,1
4.817,0.275,-9.182,5.824,8.427,1.427,spider,1
