ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
3.828,5.08,7.841,-0.87,2.267,-1.725,spider,3
3.608,4.29,7.585,-1.374,3.092,4.71,spider,3
3.428,4.166,7.638,0.115,8.885,-0.802,spider,3
3.582,4.386,8.215,2.237,11.359,-2.26,spider,3
3.78,4.707,8.155,-2.267,6.076,-0.321,spider,3
3.737,4.855,8.049,-0.229,7.198,2.26,spider,3
3.598,4.563,7.745,-2.855,5.145,5.053,spider,3
3.179,4.228,7.712,-4.756,9.511,6.321,spider,3
3.239,4.468,7.556,-3.214,9.389,0.336,spider,3
3.132,4.465,7.93,-3.397,12.412,3.656,spider,3
3.261,4.319,8.073,-1.779,8.84,-3.229,spider,3
3.45,4.731,8.224,-3.153,11.473,1.771,spider,3
3.536,4.65,8.188,-4.374,6.237,1.504,spider,3
3.677,4.793,8.068,-2.473,6.901,1.947,spider,3
3.476,4.654,8.547,8.542,-4.198,3.038,spider,3
3.816,4.573,8.607,19.496,-23.603,9.878,spider,3
4.52,5.452,8.274,21.206,-41.496,19.168,spider,3
5.016,3.747,8.274,68.977,-73.74,-2.252,spider,3
4.317,4.669,7.113,78.275,-61.771,-0.176,spider,3
4.441,3.019,6.663,161.527,-152.42,-68.412,spider,3
3.728,5.562,2.629,250.13,-183.664,-130.397,spider,3
3.354,9.17,-1.628,250.13,-184.519,-116.542,spider,3
2.057,5.136,-5.397,250.13,-155.298,-114.374,spider,3
0.328,8.116,-6.1,250.13,-193.954,-44.84,spider,3
-0.816,5.492,-10.487,250.13,-156.969,-79.069,spider,3
-0.998,2.03,-10.554,250.13,-143.412,-20.252,spider,3
-1.733,1.87,-10.305,206.29,-98.443,-3.656,spider,3
-2.612,-1.154,-10.204,135.023,-56.061,10.802,spider,3
-3.057,-2.466,-9.816,63.977,-16.809,0.191,spider,3
-3.16,-2.409,-9.234,47.931,-11.076,3.038,spider,3
-3.364,-3.306,-8.789,19.847,-13.954,15.321,spider,3
-3.254,-3.115,-9.072,-9.511,1.931,4.305,spider,3
-3.292,-3.12,-9.017,5.321,1.855,5.618,spider,3
-3.551,-2.825,-8.777,-3.282,6.466,0.42,spider,3
-3.383,-2.806,-8.724,-6.305,5.046,-0.611,spider,3
-3.594,-2.921,-8.631,-4.412,6.023,0.824,spider,3
-3.567,-3.043,-8.669,-2.481,4.641,0.672,spider,3
-3.519,-2.986,-8.722,-2.511,4.779,-1.649,spider,3
-3.357,-2.921,-8.633,0.725,3.321,3.29,spider,3
-3.572,-3.187,-8.727,-6.038,1.58,0.679,spider,3
-3.541,-2.84,-8.744,-4.0,1.985,2.328,spider,3
-3.44,-3.036,-8.736,-2.458,0.901,3.702,spider,3
-3.572,-2.966,-8.803,-3.412,-1.084,7.443,spider,3
-3.522,-3.026,-8.887,-3.145,3.42,1.534,spider,3
-3.62,-2.926,-8.985,0.878,4.573,0.221,spider,3
-3.749,-2.895,-8.667,-2.466,6.023,-0.74,spider,3
-3.541,-2.844,-8.899,-5.641,5.779,-0.901,spider,3
-3.646,-3.024,-8.971,3.305,6.565,-2.45,spider,3
-3.644,-2.787,-8.734,-2.84,5.908,-1.26,spider,3
-3.697,-2.808,-8.892,-3.458,5.183,-1.183,spider,3
-3.622,-2.825,-8.77,-2.412,6.763,-1.069,spider,3
-3.673,-2.772,-8.71,-4.427,4.573,-0.397,spider,3
-3.558,-2.844,-8.827,-2.458,5.756,-0.794,spider,3
-3.548,-2.772,-8.861,-4.244,5.916,0.954,spider,3
-3.517,-2.801,-8.806,-1.099,5.863,-1.427,spider,3
-3.5,-2.782,-8.868,-3.412,4.802,-1.137,spider,3
-3.445,-2.667,-8.813,-1.137,6.794,-1.542,spider,3
-3.553,-2.866,-8.784,-2.679,5.626,-0.29,spider,3
-3.56,-2.583,-8.796,-2.748,5.206,-0.427,spider,3
-3.484,-2.799,-8.827,-4.908,5.794,-0.763,spider,3
-3.424,-2.595,-8.981,-4.466,6.321,-0.389,spider,3
-3.464,-2.794,-8.985,-1.015,4.817,-0.191,spider,3
-3.364,-2.641,-8.914,-7.099,4.916,-1.16,spider,3
-3.45,-2.614,-8.938,-0.473,4.237,1.435,spider,3
-3.486,-2.823,-8.842,-2.443,4.672,0.298,spider,3
-3.548,-2.555,-8.83,-4.71,3.168,-1.45,spider,3
-3.27,-2.655,-9.072,-1.061,4.695,1.168,spider,3
-3.431,-2.406,-8.914,-4.87,6.817,0.763,spider,3
-3.603,-2.895,-8.653,-1.305,7.099,-1.374,spider,3
-3.381,-2.526,-8.832,-5.328,4.267,1.817,spider,3
-3.469,-2.588,-9.0,-5.344,5.863,-0.679,spider,3
-3.464,-2.531,-8.849,-3.985,3.435,0.42,spider,3
-3.51,-2.622,-8.985,-0.84,6.603,-1.573,spider,3
-3.385,-2.495,-8.926,-2.595,5.0,-0.244,spider,3
-3.369,-2.622,-9.012,-0.527,5.527,-1.71,spider,3
-3.498,-2.543,-8.839,-2.611,6.916,0.191,spider,3
-3.273,-2.461,-8.921,-1.481,3.351,1.687,spider,3
-3.407,-2.567,-9.007,-2.756,3.55,0.87,spider,3
-3.517,-2.468,-8.995,-2.069,6.008,0.061,spider,3
-3.328,-2.325,-9.079,-1.855,4.786,1.145,spider,3
-3.474,-2.6,-8.887,-2.13,6.489,0.26,spider,3
-3.414,-2.325,-8.942,-2.038,5.55,0.595,spider,3
-3.414,-2.614,-8.815,-3.176,5.031,-0.534,spider,3
-3.27,-2.368,-9.021,-4.084,6.076,-1.084,spider,3
-3.522,-2.406,-8.602,-2.069,4.802,-2.649,spider,3
-3.232,-2.227,-9.175,-1.962,3.29,0.687,spider,3
-3.474,-2.485,-9.17,-1.344,3.458,1.794,spider,3
-3.4,-2.16,-9.002,-0.656,5.008,2.252,spider,3
-3.342,-2.543,-9.105,3.237,4.351,0.786,spider,3
-3.44,-2.574,-8.89,-3.443,6.786,-0.107,spider,3
-3.306,-2.454,-8.916,-0.649,4.26,0.641,spider,3
-3.505,-2.564,-9.029,-3.779,4.107,1.336,spider,3
-3.433,-2.32,-9.17,-2.618,6.374,-1.878,spider,3
-3.321,-2.344,-9.031,-2.939,5.145,-0.252,spider,3
-3.378,-2.306,-9.014,-3.458,4.344,0.802,spider,3
-3.347,-2.437,-8.957,-1.435,5.847,-0.282,spider,3
-3.433,-2.291,-8.995,-2.237,5.336,1.214,spider,3
-3.28,-2.37,-8.978,-0.939,5.588,-0.061,spider,3
-3.342,-2.33,-8.954,-2.496,4.298,0.565,spider,3
-3.388,-2.504,-9.067,-0.542,4.855,0.55,spider,3
-3.28,-2.239,-9.029,0.053,6.931,-0.168,spider,3
-3.383,-2.191,-9.019,0.122,4.282,1.214,spider,3
-3.27,-2.389,-8.969,-4.443,6.084,0.13,spider,3
-3.27,-2.272,-9.024,-2.176,8.382,-0.733,spider,3
-3.282,-2.294,-8.964,-4.084,3.565,0.305,spider,3
-3.191,-2.344,-9.208,-2.366,6.977,-0.191,spider,3
-3.215,-2.21,-9.005,-4.046,6.305,-1.252,spider,3
-3.297,-2.27,-9.052,0.954,5.321,1.061,spider,3
-3.352,-2.48,-9.115,-1.145,4.771,-0.336,spider,3
-3.191,-2.184,-9.017,-0.603,5.595,1.344,spider,3
-3.254,-2.32,-9.182,-0.344,5.229,0.099,spider,3
-3.168,-2.358,-9.038,-2.832,5.328,-0.412,spider,3
-3.27,-2.361,-9.036,-0.061,6.29,-1.443,spider,3
-3.211,-2.167,-8.997,-2.168,2.832,3.542,spider,3
-3.153,-2.222,-9.088,-2.885,5.824,-2.16,spider,3
-3.218,-2.246,-9.084,-1.435,4.328,0.305,spider,3
-3.218,-2.2,-9.062,-3.908,5.908,-0.366,spider,3
-3.17,-2.346,-9.131,-0.794,4.824,1.206,spider,3
