ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
1.437,2.729,9.735,-6.176,1.282,5.656,spider,4
1.456,2.899,9.321,-2.344,-2.458,5.29,spider,4
1.968,2.437,8.878,-9.947,5.069,5.29,spider,4
1.709,2.581,9.404,-9.672,7.939,-1.229,spider,4
1.544,2.55,9.4,-12.305,5.786,-3.13,spider,4
1.587,2.593,9.299,-6.374,1.84,-3.779,spider,4
1.709,2.567,9.16,-8.008,4.756,-6.275,spider,4
1.793,2.523,9.084,-6.458,7.023,-6.389,spider,4
1.618,2.576,9.184,-9.802,6.542,-5.672,spider,4
1.803,2.392,9.165,-11.985,8.107,-5.466,spider,4
1.444,2.622,9.483,-1.809,7.344,-7.0,spider,4
1.47,2.66,9.634,2.504,4.008,-3.412,spider,4
1.532,2.83,9.457,-0.901,0.687,1.145,spider,4
1.573,2.253,9.443,0.13,4.519,3.901,spider,4
1.731,2.461,9.136,-7.969,7.397,3.893,spider,4
1.532,2.277,9.594,-3.74,11.13,-0.71,spider,4
1.322,2.686,9.668,-3.427,4.565,-1.969,spider,4
1.451,2.579,9.206,-4.87,3.534,-0.473,spider,4
1.374,2.749,9.369,-0.435,4.641,0.275,spider,4
1.448,2.188,9.582,-5.962,4.588,0.969,spider,4
1.523,2.444,9.498,-1.817,2.656,0.55,spider,4
1.547,2.212,9.426,-5.809,3.87,1.725,spider,4
1.496,2.222,9.378,-0.618,6.359,-0.458,spider,4
1.566,2.071,9.546,-4.527,5.603,0.74,spider,4
1.52,2.212,9.436,-1.954,2.221,1.511,spider,4
1.559,2.15,9.426,1.122,5.748,-0.374,spider,4
1.549,2.346,9.347,-1.588,3.511,0.824,spider,4
1.508,2.363,9.424,-1.557,5.061,0.206,spider,4
1.501,2.337,9.448,-0.412,3.901,1.718,spider,4
1.59,2.186,9.416,-3.015,6.076,1.267,spider,4
1.544,2.188,9.471,0.794,4.191,1.115,spider,4
1.573,2.131,9.467,-3.405,6.916,1.038,spider,4
1.585,2.114,9.498,-0.634,5.45,0.626,spider,4
1.628,2.145,9.498,-2.947,5.511,0.282,spider,4
1.477,2.313,9.567,-1.489,4.931,0.183,spider,4
1.125,1.69,9.481,-14.435,5.031,3.992,spider,4
1.477,1.884,9.687,3.908,4.466,-0.84,spider,4
1.549,2.064,9.529,0.542,3.176,-1.573,spider,4
1.52,2.186,9.507,-1.168,4.313,-0.969,spider,4
1.47,2.215,9.409,-5.794,4.298,-0.321,spider,4
1.516,2.313,9.397,-4.565,4.733,0.679,spider,4
1.58,2.169,9.488,-3.366,6.252,0.573,spider,4
1.549,2.16,9.637,-3.786,5.107,-0.267,spider,4
1.518,2.064,9.627,5.931,0.313,1.13,spider,4
1.635,2.071,9.749,18.092,-5.275,1.45,spider,4
1.788,1.322,10.139,118.107,-26.26,-9.649,spider,4
2.083,3.139,9.21,241.229,-35.542,-28.977,spider,4
2.717,4.899,6.886,250.13,-42.58,-37.847,spider,4
2.078,8.157,3.615,250.13,-38.954,-38.45,spider,4
1.956,8.248,0.939,250.13,-33.824,-40.641,spider,4
0.644,9.603,-0.275,250.13,-48.466,-38.557,spider,4
0.807,9.998,-3.172,247.321,-47.443,-31.282,spider,4
0.934,8.183,-5.109,250.13,-57.214,-33.366,spider,4
0.345,7.099,-7.202,250.13,-68.412,-27.878,spider,4
-0.048,6.381,-8.531,196.351,-69.023,-5.397,spider,4
-1.547,4.599,-9.263,163.641,-41.282,6.427,spider,4
-0.785,2.65,-10.104,106.374,-24.29,0.198,spider,4
-0.474,3.045,-10.305,74.733,-14.977,2.534,spider,4
-0.845,2.085,-10.01,44.794,-9.137,0.183,spider,4
-1.638,1.841,-9.819,31.649,5.71,5.389,spider,4
-0.831,1.379,-9.586,-10.191,2.099,4.053,spider,4
-1.788,1.805,-9.732,0.412,1.008,4.702,spider,4
-1.293,1.307,-9.826,-0.26,-3.031,1.473,spider,4
-1.446,1.319,-9.855,-8.153,0.366,0.107,spider,4
-1.19,1.01,-9.835,-3.954,5.374,0.618,spider,4
-1.329,1.812,-9.823,-8.458,2.015,3.725,spider,4
-1.48,1.245,-9.653,-9.74,3.198,2.595,spider,4
-1.446,1.446,-9.766,-2.427,6.0,3.466,spider,4
-1.463,1.724,-9.708,-0.122,5.977,1.42,spider,4
-1.427,1.458,-9.608,-1.038,7.71,1.412,spider,4
-1.592,1.724,-9.337,-4.687,4.847,1.718,spider,4
-1.312,1.492,-9.687,0.321,1.573,3.954,spider,4
