ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
-4.994,1.094,13.599,-23.786,7.305,7.275,yessr,5
-2.509,1.705,10.664,35.733,-69.282,5.611,yessr,5
-1.223,0.745,8.353,3.176,-33.74,8.191,yessr,5
-1.393,0.912,8.418,2.71,3.366,4.687,yessr,5
-1.75,0.903,9.507,-1.221,21.527,-1.13,yessr,5
-2.054,1.202,10.305,2.0,5.237,-0.397,yessr,5
-1.994,1.24,9.673,4.779,-4.183,-0.954,yessr,5
-1.882,1.384,9.361,9.183,-6.443,3.328,yessr,5
-1.69,1.12,9.062,7.382,-0.794,3.382,yessr,5
-1.695,1.039,9.256,3.817,6.427,-1.389,yessr,5
-1.872,1.24,9.85,1.847,9.168,-7.061,yessr,5
-1.968,1.949,9.685,-0.206,0.389,-3.435,yessr,5
-2.009,1.765,9.548,1.412,-2.794,2.008,yessr,5
-1.958,1.377,9.632,-6.405,-0.916,4.969,yessr,5
-2.023,1.599,9.467,-1.153,-0.038,4.282,yessr,5
-1.784,1.209,9.105,-8.817,5.099,5.13,yessr,5
-1.808,0.67,9.222,-5.374,5.053,3.023,yessr,5
-1.808,0.721,9.227,-2.534,4.985,-1.191,yessr,5
-2.047,1.425,9.541,-0.244,9.053,-3.366,yessr,5
-2.109,1.209,9.517,-3.595,5.412,1.695,yessr,5
-2.042,1.25,9.72,-2.221,5.588,0.336,yessr,5
-2.354,1.384,10.111,4.58,0.198,0.481,yessr,5
-2.169,1.001,9.471,-2.87,-5.618,1.664,yessr,5
-1.834,1.159,9.012,-5.13,5.214,-0.802,yessr,5
-2.282,0.97,9.369,-8.252,-2.931,-4.893,yessr,5
-2.083,1.211,9.471,-6.481,3.382,0.252,yessr,5
-2.083,0.857,9.529,-4.687,3.679,0.328,yessr,5
-2.186,1.147,9.548,-7.557,4.817,1.496,yessr,5
-2.059,0.484,9.208,-3.267,7.802,0.702,yessr,5
-2.456,0.472,9.548,0.076,7.145,-0.244,yessr,5
-2.409,0.769,9.606,-6.733,5.74,-0.244,yessr,5
-2.488,0.687,9.783,4.565,1.092,3.115,yessr,5
-2.368,0.826,9.541,-1.183,1.519,-2.519,yessr,5
-2.339,0.852,9.4,12.496,2.74,2.824,yessr,5
-2.598,0.637,9.689,-5.962,5.519,-0.969,yessr,5
-2.516,1.051,9.658,1.351,0.687,-1.084,yessr,5
-2.392,0.948,9.694,-1.802,-4.069,2.511,yessr,5
-2.205,0.706,9.395,6.748,-3.366,2.168,yessr,5
-2.114,0.852,9.155,7.626,-4.252,1.351,yessr,5
-2.346,0.833,9.404,15.824,-1.168,3.0,yessr,5
-1.642,1.86,9.378,16.008,-1.618,10.916,yessr,5
-2.342,1.697,10.06,21.954,-17.221,24.13,yessr,5
-2.224,2.083,10.757,38.847,-24.382,40.13,yessr,5
-1.595,2.995,10.494,52.672,-45.634,80.618,yessr,5
