ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
-1.338,0.35,9.752,-0.374,3.58,0.458,yessr,2
-1.329,0.412,9.689,1.504,5.305,0.305,yessr,2
-1.279,0.397,9.67,0.069,4.664,-0.008,yessr,2
-1.283,0.491,9.689,-1.0,4.511,-0.328,yessr,2
-1.293,0.546,9.756,-0.107,5.168,0.107,yessr,2
-1.274,0.543,9.862,-1.573,4.603,0.0,yessr,2
-1.281,0.532,9.742,-1.832,4.076,0.0,yessr,2
-1.293,0.496,9.78,-0.427,4.924,0.748,yessr,2
-1.322,0.508,9.74,-1.847,3.855,0.962,yessr,2
-1.262,0.479,9.687,-2.443,5.664,0.71,yessr,2
-1.288,0.45,9.761,-2.214,4.824,0.153,yessr,2
-1.329,0.522,9.737,-1.534,5.443,0.183,yessr,2
-1.283,0.431,9.752,-1.176,5.13,0.756,yessr,2
-1.247,0.515,9.68,-2.901,5.908,0.481,yessr,2
-1.29,0.443,9.814,-0.939,4.74,0.481,yessr,2
-1.417,0.479,9.74,-1.053,5.824,0.519,yessr,2
-1.348,0.407,9.747,-0.252,6.962,0.588,yessr,2
-1.293,0.402,9.843,-1.405,5.481,0.863,yessr,2
-1.271,0.345,9.708,0.702,5.664,0.366,yessr,2
-1.322,0.397,9.725,5.878,7.847,0.588,yessr,2
-1.46,0.453,9.78,0.954,8.504,-1.046,yessr,2
-1.585,0.833,9.785,0.008,5.702,1.198,yessr,2
-1.336,0.472,9.826,1.229,6.298,0.382,yessr,2
-1.492,0.692,9.946,-1.084,3.405,0.061,yessr,2
-2.205,0.984,10.736,7.534,1.679,7.137,yessr,2
-3.225,0.084,12.488,131.824,-85.87,84.351,yessr,2
-2.246,5.468,11.696,250.13,-27.832,158.885,yessr,2
-1.058,9.431,10.865,199.344,-48.824,152.115,yessr,2
0.235,10.376,8.636,215.252,-15.649,191.366,yessr,2
0.862,9.914,6.962,132.702,-22.534,190.641,yessr,2
1.487,8.863,5.284,70.092,5.977,213.802,yessr,2
2.873,6.076,4.077,37.466,-1.275,225.458,yessr,2
4.01,2.624,3.409,-1.573,-0.847,225.16,yessr,2
5.033,-0.742,3.589,-25.87,9.885,192.336,yessr,2
6.428,-3.594,3.673,-5.191,-0.397,137.031,yessr,2
7.772,-3.546,3.713,20.557,1.519,85.527,yessr,2
8.437,-2.914,3.938,-12.237,9.916,36.466,yessr,2
8.504,-2.346,3.953,3.588,16.802,3.42,yessr,2
8.614,-0.129,4.429,-8.634,4.313,-8.29,yessr,2
8.99,0.364,4.432,-3.336,9.252,-3.198,yessr,2
8.753,0.666,4.506,1.481,3.985,-1.45,yessr,2
8.557,0.826,4.563,5.321,8.641,-0.542,yessr,2
8.509,0.917,4.712,-9.015,5.466,2.29,yessr,2
8.624,0.867,4.736,1.672,5.954,4.031,yessr,2
8.633,0.498,4.575,1.321,1.954,2.504,yessr,2
8.734,0.424,4.642,-4.496,5.359,1.985,yessr,2
8.813,0.45,4.587,-3.863,5.344,-0.008,yessr,2
8.617,0.539,4.664,-5.237,6.076,0.947,yessr,2
8.748,0.601,4.638,-3.328,2.817,3.214,yessr,2
8.554,0.388,4.559,-3.588,3.473,4.427,yessr,2
8.531,0.828,4.535,-16.206,0.344,5.824,yessr,2
8.885,-0.294,4.446,-6.473,-0.924,4.916,yessr,2
8.672,0.175,4.492,-2.527,2.206,0.947,yessr,2
8.851,-0.005,4.192,0.13,3.534,0.42,yessr,2
8.701,0.304,4.384,-2.374,7.344,-1.672,yessr,2
8.748,0.359,4.499,-0.817,7.641,-0.206,yessr,2
8.813,0.196,4.511,1.198,5.084,0.107,yessr,2
8.789,0.093,4.41,-1.985,5.275,-0.901,yessr,2
8.777,0.46,4.568,-5.496,7.656,-3.901,yessr,2
8.727,0.51,4.484,-2.588,7.473,-2.298,yessr,2
8.739,0.517,4.523,0.069,4.305,0.328,yessr,2
8.796,0.251,4.434,-3.183,5.511,1.069,yessr,2
8.753,0.302,4.575,-1.962,6.336,0.725,yessr,2
8.653,0.388,4.53,-2.443,6.794,0.84,yessr,2
8.66,0.347,4.489,1.947,6.42,1.031,yessr,2
8.701,0.311,4.384,0.198,7.237,1.534,yessr,2
8.796,0.503,4.195,2.282,8.809,0.305,yessr,2
8.569,0.52,4.772,-7.779,11.069,3.298,yessr,2
8.502,0.194,5.126,1.603,7.504,2.824,yessr,2
8.519,0.115,4.81,0.26,1.71,2.069,yessr,2
8.495,0.402,4.561,-1.679,2.137,-0.687,yessr,2
8.679,0.35,4.527,-3.092,4.427,1.183,yessr,2
8.622,0.199,4.69,-2.809,4.664,0.313,yessr,2
8.763,0.263,4.587,-1.733,4.008,-0.351,yessr,2
8.645,0.412,4.559,-1.328,3.214,0.534,yessr,2
8.784,0.326,4.398,1.504,4.26,0.626,yessr,2
8.622,0.328,4.525,-2.206,4.229,1.695,yessr,2
8.689,0.294,4.551,-1.122,5.573,1.55,yessr,2
8.681,0.259,4.638,-0.267,5.489,0.901,yessr,2
8.71,0.35,4.616,-1.939,5.412,0.344,yessr,2
8.576,0.347,4.599,-2.641,5.344,1.107,yessr,2
8.614,0.256,4.568,-1.924,5.153,0.42,yessr,2
8.655,0.249,4.571,-1.641,5.336,0.374,yessr,2
8.65,0.251,4.645,-1.427,5.802,0.687,yessr,2
