ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
-3.421,5.993,6.9,-2.153,7.198,-0.748,yessr,1
-3.244,6.191,6.926,0.031,1.55,1.534,yessr,1
-3.405,6.17,6.831,-3.672,5.649,-1.122,yessr,1
-3.316,6.11,6.788,-0.481,2.901,2.832,yessr,1
-3.27,5.89,6.993,-2.405,8.305,-2.053,yessr,1
-3.278,6.127,6.97,0.565,0.031,5.069,yessr,1
-3.158,6.005,6.855,-4.313,6.565,-2.519,yessr,1
-3.311,6.167,6.797,2.672,3.359,3.939,yessr,1
-3.136,5.971,6.893,-2.374,9.252,-1.748,yessr,1
-3.321,6.172,6.95,-0.443,5.053,2.229,yessr,1
-3.203,5.981,7.005,-0.565,8.344,-0.183,yessr,1
-3.381,6.103,7.037,-2.282,2.969,2.504,yessr,1
-3.345,6.105,7.041,-2.634,8.817,-2.107,yessr,1
-3.292,6.05,6.998,-2.71,1.832,2.756,yessr,1
-3.321,6.045,6.883,-2.626,6.313,-0.634,yessr,1
-3.376,6.086,6.879,-0.412,4.74,2.092,yessr,1
-3.431,6.256,6.974,-1.122,5.481,1.809,yessr,1
-3.39,6.541,7.082,-2.481,-4.443,13.298,yessr,1
-3.493,6.864,7.264,-5.802,0.962,16.435,yessr,1
-3.761,7.669,8.294,-15.893,-11.076,40.061,yessr,1
-3.323,8.262,9.206,-13.87,-36.336,90.053,yessr,1
-2.332,8.765,8.94,8.588,-32.733,145.015,yessr,1
-0.302,9.318,8.346,44.443,-63.099,181.443,yessr,1
3.151,9.914,6.388,80.847,-46.74,249.527,yessr,1
3.984,9.052,5.763,32.389,10.29,217.405,yessr,1
4.81,7.506,5.404,-24.71,54.71,153.206,yessr,1
4.53,5.205,6.342,-45.435,40.893,129.527,yessr,1
3.737,4.077,6.117,-80.053,63.366,108.672,yessr,1
5.136,3.117,6.048,-84.191,37.298,101.275,yessr,1
3.864,1.456,5.856,-96.725,89.931,74.0,yessr,1
3.079,0.077,6.11,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
-7.236,7.354,-0.001,-92.282,93.794,-0.008,yessr,1
