ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
2.162,5.1,7.961,0.328,3.641,-0.611,yessr,3
2.193,5.138,8.131,-0.588,5.847,0.878,yessr,3
2.054,5.262,8.088,-0.87,2.992,-0.328,yessr,3
2.076,5.186,8.212,-0.779,4.893,1.779,yessr,3
2.093,5.212,7.956,1.046,3.435,-1.069,yessr,3
2.04,5.195,8.073,-2.954,5.519,1.74,yessr,3
2.054,5.181,8.339,-2.176,3.26,-1.015,yessr,3
2.047,5.085,8.052,0.656,-0.542,-0.42,yessr,3
2.076,5.227,7.903,-0.206,7.359,-1.0,yessr,3
2.164,5.107,8.023,0.511,5.038,-0.885,yessr,3
1.958,5.274,8.121,1.527,6.214,0.519,yessr,3
2.105,5.188,8.171,0.344,3.992,2.153,yessr,3
1.975,5.241,7.958,1.313,3.496,3.573,yessr,3
1.848,4.946,7.903,-5.718,12.634,7.595,yessr,3
1.743,4.755,7.836,2.771,4.008,-4.634,yessr,3
1.872,5.109,8.054,4.84,9.748,-9.885,yessr,3
2.229,5.332,8.176,3.916,5.893,-5.595,yessr,3
2.315,5.674,8.471,8.443,2.71,-0.748,yessr,3
2.464,5.559,8.452,6.489,3.122,14.153,yessr,3
1.925,5.358,7.918,15.13,3.397,12.649,yessr,3
2.102,5.191,8.322,14.053,8.58,11.336,yessr,3
2.83,5.947,8.215,57.115,7.771,8.649,yessr,3
2.703,7.214,8.416,52.359,2.779,34.855,yessr,3
2.792,8.734,7.937,117.405,8.275,38.221,yessr,3
2.856,7.992,7.604,86.595,-15.885,60.588,yessr,3
2.832,12.069,5.825,125.198,-12.344,63.099,yessr,3
4.386,9.732,4.413,102.496,3.656,85.924,yessr,3
4.405,12.395,2.629,108.977,31.908,91.908,yessr,3
5.064,8.971,2.756,64.794,39.397,119.115,yessr,3
4.592,8.873,1.264,63.42,59.824,120.023,yessr,3
5.107,6.014,1.571,-13.45,59.412,127.366,yessr,3
5.916,4.685,2.306,16.519,66.611,131.588,yessr,3
5.605,3.0,3.919,-8.015,64.45,114.214,yessr,3
6.06,2.907,3.879,20.87,63.557,111.542,yessr,3
6.323,1.841,4.666,18.802,62.046,95.641,yessr,3
6.821,1.396,5.04,25.458,59.13,83.969,yessr,3
6.771,1.264,5.353,-3.626,61.718,55.366,yessr,3
6.826,1.132,5.54,-5.611,43.618,50.962,yessr,3
6.527,0.613,6.091,-22.252,48.336,31.092,yessr,3
6.677,0.757,5.978,-16.29,35.824,32.511,yessr,3
6.57,0.651,6.606,-34.16,33.244,23.015,yessr,3
5.88,-0.63,7.484,-18.756,20.435,12.321,yessr,3
6.103,-0.39,7.015,-22.137,11.649,-8.832,yessr,3
7.072,0.661,6.402,-2.656,4.191,-0.275,yessr,3
7.281,1.183,6.922,-27.908,7.962,0.443,yessr,3
6.823,-0.148,6.902,-13.031,4.84,3.153,yessr,3
7.101,0.148,6.673,-14.626,6.0,2.328,yessr,3
7.159,0.249,6.632,1.885,6.0,-1.282,yessr,3
6.891,0.235,6.924,-3.489,2.817,-0.725,yessr,3
7.343,0.254,6.488,0.916,1.313,0.328,yessr,3
7.027,0.326,6.914,3.908,4.046,-0.947,yessr,3
7.288,0.589,6.835,0.756,4.008,0.527,yessr,3
7.254,0.383,6.845,3.473,4.672,0.672,yessr,3
7.166,0.409,6.706,0.611,2.985,1.878,yessr,3
7.207,0.527,6.685,2.382,3.954,1.023,yessr,3
7.094,0.338,6.819,0.916,3.672,0.198,yessr,3
7.187,0.311,6.699,-0.611,3.603,1.0,yessr,3
7.065,0.371,6.761,1.13,5.824,-0.649,yessr,3
7.175,0.335,6.649,-0.893,4.107,-0.023,yessr,3
7.159,0.565,6.804,0.405,4.321,-0.061,yessr,3
7.137,0.599,6.778,-1.16,4.855,2.084,yessr,3
7.175,0.311,6.723,-7.313,5.733,0.824,yessr,3
7.156,0.541,6.603,-2.267,4.695,0.198,yessr,3
7.072,0.204,6.732,-2.16,3.198,1.992,yessr,3
7.207,0.385,6.73,-4.298,3.779,0.527,yessr,3
7.207,0.184,6.816,-3.328,4.053,0.794,yessr,3
7.151,0.278,6.752,-0.443,5.008,0.053,yessr,3
7.149,0.263,6.63,0.45,3.702,1.443,yessr,3
7.111,0.369,6.768,-0.71,3.313,1.42,yessr,3
7.228,0.39,6.658,-1.565,3.916,1.473,yessr,3
7.18,0.285,6.603,2.115,4.374,-0.122,yessr,3
7.106,0.326,6.771,-0.618,4.748,0.496,yessr,3
7.309,0.275,6.527,-0.031,4.634,-0.008,yessr,3
7.623,0.481,6.744,1.611,2.947,1.824,yessr,3
7.132,0.28,6.689,-2.573,6.489,0.534,yessr,3
7.161,0.376,6.677,2.015,3.511,1.153,yessr,3
7.271,0.551,6.759,-2.084,4.771,-0.252,yessr,3
7.23,0.323,6.596,-1.992,4.588,0.427,yessr,3
7.104,0.244,6.725,1.084,4.435,0.443,yessr,3
7.221,0.474,6.78,-1.389,4.519,0.603,yessr,3
7.183,0.417,6.603,-0.542,3.084,0.511,yessr,3
7.195,0.508,6.776,1.16,5.397,0.84,yessr,3
7.216,0.532,6.615,-2.748,5.794,0.099,yessr,3
7.168,0.283,6.656,-1.87,4.237,1.29,yessr,3
7.178,0.553,6.742,-2.046,4.153,0.55,yessr,3
7.214,0.486,6.665,-2.427,4.55,0.954,yessr,3
7.171,0.268,6.634,-0.733,3.626,0.45,yessr,3
7.24,0.51,6.608,0.939,2.908,1.374,yessr,3
7.35,0.591,6.706,-1.969,4.87,1.374,yessr,3
7.168,0.218,6.522,-0.733,4.802,0.794,yessr,3
7.125,0.431,6.665,-0.626,4.641,0.656,yessr,3
7.226,0.479,6.67,-0.397,5.473,0.366,yessr,3
7.192,0.402,6.646,-1.595,4.366,0.481,yessr,3
7.247,0.57,6.651,-1.557,5.0,0.344,yessr,3
7.274,0.491,6.632,0.084,3.939,1.244,yessr,3
7.274,0.716,6.656,-0.397,4.115,0.87,yessr,3
7.242,0.409,6.606,-1.405,4.267,0.718,yessr,3
7.13,0.474,6.67,-0.817,5.397,0.168,yessr,3
7.238,0.534,6.548,-0.504,4.122,0.313,yessr,3
7.298,0.488,6.653,-0.71,4.015,1.076,yessr,3
7.262,0.388,6.618,-1.275,4.282,1.008,yessr,3
7.221,0.57,6.634,-0.725,4.779,0.832,yessr,3
7.262,0.417,6.797,-1.527,5.42,0.13,yessr,3
7.219,0.4,6.603,-1.87,5.664,-0.183,yessr,3
7.171,0.443,6.586,-0.969,5.092,0.427,yessr,3
7.168,0.381,6.689,-0.718,4.947,0.252,yessr,3
7.168,0.472,6.68,-1.069,3.992,0.679,yessr,3
7.223,0.414,6.61,-1.115,4.038,0.55,yessr,3
7.274,0.543,6.522,-3.511,4.924,0.58,yessr,3
7.175,0.79,6.723,-3.382,4.313,2.214,yessr,3
7.357,0.46,6.553,-0.634,4.687,0.191,yessr,3
7.238,0.472,6.788,-0.771,5.214,0.061,yessr,3
7.295,0.45,6.527,-2.397,5.58,0.641,yessr,3
7.197,0.441,6.711,0.252,4.855,0.954,yessr,3
7.163,0.45,6.723,-1.786,4.626,0.397,yessr,3
7.321,0.565,6.527,-0.038,3.176,1.076,yessr,3
7.199,0.486,6.744,-6.183,4.534,1.687,yessr,3
7.252,0.409,6.529,-1.16,5.466,-0.13,yessr,3
7.221,0.455,6.63,0.046,3.924,0.588,yessr,3
7.259,0.326,6.709,-0.695,5.382,0.221,yessr,3
7.247,0.503,6.622,-0.603,4.473,0.58,yessr,3
7.247,0.496,6.675,-0.008,4.443,0.779,yessr,3
7.228,0.431,6.618,-0.969,3.489,1.053,yessr,3
7.274,0.484,6.63,-1.534,4.794,0.84,yessr,3
7.233,0.52,6.637,-2.824,4.718,0.809,yessr,3
7.281,0.436,6.493,-0.221,3.74,0.763,yessr,3
7.219,0.529,6.658,-2.702,4.855,0.458,yessr,3
7.317,0.369,6.613,-2.901,5.771,0.405,yessr,3
7.214,0.385,6.512,-1.763,5.336,-0.046,yessr,3
7.257,0.505,6.618,-1.679,5.305,0.267,yessr,3
7.183,0.376,6.653,-2.771,5.008,0.321,yessr,3
7.295,0.46,6.668,-1.519,4.756,0.71,yessr,3
7.183,0.373,6.627,-1.229,4.832,0.641,yessr,3
7.252,0.366,6.584,0.069,3.832,0.794,yessr,3
7.266,0.323,6.634,0.008,3.603,0.527,yessr,3
7.242,0.414,6.649,-1.519,4.939,0.198,yessr,3
7.271,0.575,6.649,-1.962,4.015,0.542,yessr,3
7.233,0.362,6.553,-1.26,4.489,0.42,yessr,3
7.247,0.359,6.548,-0.74,4.122,0.176,yessr,3
7.269,0.397,6.591,-0.595,4.901,0.229,yessr,3
7.252,0.433,6.618,-0.939,4.321,1.092,yessr,3
7.276,0.498,6.584,-1.168,4.198,0.374,yessr,3
7.305,0.383,6.529,0.038,4.275,0.336,yessr,3
7.185,0.369,6.527,-1.168,4.771,-0.496,yessr,3
7.183,0.453,6.536,-1.023,4.16,0.832,yessr,3
7.264,0.496,6.716,-1.435,3.725,0.725,yessr,3
7.257,0.354,6.606,-1.458,4.206,0.481,yessr,3
7.298,0.45,6.551,-0.924,4.481,0.626,yessr,3
7.219,0.448,6.596,0.947,3.992,0.252,yessr,3
7.207,0.438,6.584,-1.412,4.733,-0.099,yessr,3
7.305,0.469,6.505,-2.489,5.252,0.206,yessr,3
