ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
2.361,1.674,9.39,4.916,2.42,-0.45,yessr,4
2.097,1.738,9.457,-2.137,1.969,1.695,yessr,4
2.298,1.58,9.311,0.634,-0.191,2.947,yessr,4
2.375,1.64,9.143,0.29,2.656,0.557,yessr,4
2.195,1.8,9.27,0.55,3.076,-1.237,yessr,4
2.392,2.016,9.033,2.908,2.099,-0.137,yessr,4
2.148,1.932,9.28,1.664,6.412,-3.252,yessr,4
2.655,2.033,9.292,3.252,5.817,-1.908,yessr,4
2.67,2.116,9.266,3.16,6.809,-3.008,yessr,4
2.191,2.265,9.668,0.534,5.0,-5.153,yessr,4
2.318,2.421,9.448,5.412,0.069,1.336,yessr,4
2.444,1.937,9.349,0.26,4.015,1.603,yessr,4
2.454,2.035,9.297,-2.397,5.298,0.603,yessr,4
2.433,2.014,9.323,-2.832,3.664,2.115,yessr,4
2.339,2.073,9.227,-1.107,3.916,1.244,yessr,4
2.282,2.219,9.311,-1.878,3.885,1.16,yessr,4
2.452,1.985,9.309,0.084,5.351,0.641,yessr,4
2.354,1.942,9.328,-5.412,5.977,-0.252,yessr,4
2.401,2.047,9.378,-3.427,6.252,0.504,yessr,4
2.322,2.078,9.268,-2.809,5.74,-0.985,yessr,4
2.258,2.107,9.22,-1.969,4.443,-0.038,yessr,4
2.413,2.195,9.203,-1.26,5.13,0.015,yessr,4
2.418,2.27,9.412,-2.908,6.672,0.305,yessr,4
2.263,2.069,9.5,-0.771,4.282,0.71,yessr,4
2.318,2.119,9.278,-3.656,3.557,1.672,yessr,4
2.26,1.985,9.337,0.634,3.786,1.489,yessr,4
2.344,1.865,9.117,-2.16,6.45,0.527,yessr,4
2.339,2.035,9.266,-2.511,6.748,0.321,yessr,4
2.361,1.987,9.421,0.939,6.107,-0.618,yessr,4
2.289,2.105,9.474,-2.863,5.58,0.237,yessr,4
2.296,2.052,9.345,0.137,4.809,-0.435,yessr,4
2.315,1.994,9.318,-1.458,4.336,0.206,yessr,4
2.32,1.958,9.421,1.198,3.817,-0.45,yessr,4
2.411,1.97,9.34,3.939,3.229,-1.015,yessr,4
2.571,2.102,9.84,8.626,-0.168,0.87,yessr,4
2.409,3.053,10.532,17.183,-21.55,13.595,yessr,4
2.875,4.152,11.492,25.015,-36.191,17.214,yessr,4
